member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,30949.0,564.0,2.67570296749,8580.0,53.0,0.741785888431,2641.0,-1321.0,0.447125428756
上海东亚,404.0,19.0,0.0349279136278,1298.0,1.0,0.112218890814,194.0,56.0,0.0328445032861
上海中期,9797.0,-290.0,0.847001905473,21433.0,595.0,1.85299498214,11263.0,5321.0,1.90684350779
上海大陆,1718.0,183.0,0.14853008815,360.0,-198.0,0.0311238834307,1995.0,-664.0,0.337756618845
上海浙石,45.0,-9.0,0.00389048542884,254.0,0.0,0.021959628865,11.0,-9.0,0.00186231719664
东兴期货,2217.0,221.0,0.191671248794,6283.0,264.0,0.543198221097,1069.0,-61.0,0.1809833712
东吴期货,2967.0,-89.0,0.256512672608,2138.0,-200.0,0.184841285486,805.0,-1714.0,0.136287758481
东方期货,167.0,-10.0,0.0144380237026,8.0,3.0,0.000691641854015,91.0,-14.0,0.0154064422631
东方汇金,1453.0,95.0,0.125619451736,101.0,1.0,0.00873197840694,250.0,-214.0,0.0423253908327
东海期货,5882.0,-374.0,0.508529673165,3183.0,341.0,0.275187002666,3235.0,-10666.0,0.547690557375
东航期货,9110.0,-196.0,0.78760716126,8564.0,-140.0,0.740402604723,9594.0,5013.0,1.62427919859
东证期货,28294.0,-5706.0,2.44616432719,16110.0,-4033.0,1.39279378352,34205.0,361.0,5.79095997372
中信建投,6288.0,103.0,0.543630497256,2854.0,424.0,0.24674323142,7527.0,-4273.0,1.27433286719
中信期货,60876.0,65.0,5.26304868813,19533.0,-366.0,1.68873004181,27867.0,-7338.0,4.71792666533
中原期货,2885.0,128.0,0.249423343604,286.0,146.0,0.024726196281,1122.0,222.0,0.189956354057
中国国际,19091.0,643.0,1.65051682938,29417.0,-618.0,2.54325355245,5677.0,-4328.0,0.961124975028
中大期货,3006.0,170.0,0.259884426646,1097.0,179.0,0.0948413892318,1823.0,263.0,0.308636749952
中天期货,5066.0,76.0,0.437982204055,2286.0,712.0,0.197636659785,1946.0,373.0,0.329460842241
中州期货,1926.0,-890.0,0.166512776354,350.0,-5.0,0.0302593311132,2061.0,-697.0,0.348930522024
中投期货,2868.0,-19.0,0.247953604664,7837.0,-66.0,0.67754965124,571.0,-368.0,0.0966711926618
中粮期货,28028.0,-1150.0,2.42316723554,152386.0,2105.0,13.1745669457,24357.0,3411.0,4.12367817804
中航期货,1558.0,-1.0,0.134697251069,209.0,-21.0,0.0180691434361,382.0,-171.0,0.0646731971923
中融汇信,1539.0,109.0,0.133054601666,655.0,43.0,0.0566281767975,698.0,-635.0,0.118172491205
中衍期货,14827.0,-225.0,1.28187172119,296.0,25.0,0.0255907485986,1974.0,-756.0,0.334201286015
中财期货,4461.0,95.0,0.385676788845,913.0,-12.0,0.0789336265895,3393.0,838.0,0.574440204381
中辉期货,5408.0,-51.0,0.467549893314,9034.0,41.0,0.781036563647,2676.0,-743.0,0.453050983473
中金期货,3302.0,-1286.0,0.285475175245,338.0,-8.0,0.0292218683321,1298.0,47.0,0.219753429203
中钢期货,7949.0,-567.0,0.687232637196,6750.0,-598.0,0.583572814325,1637.0,-426.0,0.277146659172
中银国际,894.0,86.0,0.0772909771862,152.0,42.0,0.0131411952263,21960.0,-2787.0,3.71786233074
九州期货,465.0,-133.0,0.0402016827646,147.0,1.0,0.0127089190675,194.0,-1029.0,0.0328445032861
云晨期货,472.0,6.0,0.0408068693869,237.0,5.0,0.0204898899252,133.0,48.0,0.022517107923
五矿经易,55104.0,2454.0,4.76402909046,14272.0,341.0,1.23388906756,7513.0,-5389.0,1.2719626453
信达期货,17602.0,-126.0,1.5217849893,2437.0,77.0,0.210691399779,2825.0,304.0,0.478276916409
倍特期货,1266.0,-19.0,0.109452323398,21853.0,-106.0,1.88930617947,1291.0,-22580.0,0.21856831826
先融期货,974.0,5.0,0.0842073957263,355.0,80.0,0.0306916072719,993.0,255.0,0.168116452387
光大期货,20650.0,-342.0,1.78530053568,7368.0,-1684.0,0.637002147548,16802.0,1647.0,2.84460486708
兴业期货,1816.0,-179.0,0.157002700861,1188.0,-61.0,0.102708815321,1320.0,-1848.0,0.223478063596
兴证期货,13608.0,161.0,1.17648279368,10717.0,207.0,0.926540718685,19832.0,7934.0,3.35758860397
冠通期货,2405.0,100.0,0.207924832363,746.0,8.0,0.0644956028869,884.0,-15.0,0.149662581984
创元期货,4775.0,173.0,0.412823731615,692.0,117.0,0.0598270203723,1912.0,-276.0,0.323704589088
前二十名合计,714557.0,95.0,61.7771910349,929078.0,-4264.0,80.3236538056,358775.0,966.0,60.7411683839
前五名合计,337259.0,10492.0,29.1578050054,525525.0,2570.0,45.4343856664,149126.0,-8191.0,25.2472649332
前十名合计,486291.0,4341.0,42.0424011039,734230.0,-56.0,63.4780248092,244267.0,-13346.0,41.3547849701
前海期货,494.0,15.0,0.0427088844854,127.0,4.0,0.0109798144325,151.0,-1270.0,0.0255645360629
北京金鹏,2441.0,-23.0,0.211037220706,101.0,2.0,0.00873197840694,419.0,140.0,0.0709373550355
北京首创,8712.0,635.0,0.753197979023,26670.0,-119.0,2.30576103082,5654.0,-9571.0,0.957231039071
华信期货,37566.0,640.0,3.24777723599,175063.0,-3432.0,15.1351122362,30932.0,4881.0,5.23683595694
华创期货,232.0,7.0,0.0200576137664,24.0,-6.0,0.00207492556205,407.0,288.0,0.0689057362756
华安期货,6236.0,478.0,0.539134825205,3260.0,-10.0,0.281844055511,5250.0,171.0,0.888833207486
华泰期货,21738.0,-1250.0,1.87936382782,18849.0,-223.0,1.62959466329,8093.0,-1424.0,1.37015755203
华联期货,1404.0,-153.0,0.12138314538,228.0,-139.0,0.0197117928394,974.0,-228.0,0.164899722684
华融期货,529.0,-34.0,0.0457348175968,347.0,118.0,0.0299999654179,3248.0,-2005.0,0.549891477698
华西期货,2697.0,-7.0,0.233169760035,1152.0,-9.0,0.0995964269782,1176.0,-192.0,0.199098638477
华金期货,17.0,1.0,0.00146973893978,12.0,4.0,0.00103746278102,55.0,20.0,0.00931158598318
华鑫期货,3059.0,116.0,0.264466553929,390.0,-101.0,0.0337175403832,497.0,-421.0,0.0841428769753
华闻期货,618.0,38.0,0.0534293332227,56.0,-98.0,0.00484149297811,394.0,-154.0,0.0667048159523
华龙期货,359.0,-5.0,0.0310374281989,17.0,-5.0,0.00146973893978,84.0,-256.0,0.0142213313198
南华期货,47701.0,2584.0,4.1240010098,50952.0,2317.0,4.40506696822,9949.0,1578.0,1.68438125358
南证期货,1518.0,-198.0,0.131239041799,10584.0,-8.0,0.915042172862,590.0,-98.0,0.0998879223651
同信久恒,193.0,-2.0,0.0166858597281,124.0,44.0,0.0107204487372,776.0,-163.0,0.131378013145
和合期货,2551.0,29.0,0.220547296199,35.0,2.0,0.00302593311132,279.0,-1417.0,0.0472351361692
和融期货,28.0,7.0,0.00242074648905,,,,23.0,5.0,0.0038939359566
国信期货,5968.0,-372.0,0.515964823095,1658.0,-127.0,0.143342774245,4447.0,-666.0,0.752884052131
国元期货,1802.0,63.0,0.155792327617,73.0,-71.0,0.00631123191789,1228.0,-3600.0,0.20790231977
