member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,1369.0,509.0,2.32045697239,981.0,-31.0,1.66279641338,,,
上海中期,,,,1132.0,316.0,1.91874163093,,,
东航期货,1136.0,108.0,1.92552163669,,,,8777.0,-2445.0,1.71416406915
东证期货,,,,1049.0,86.0,1.77805651135,,,
中信建投,1982.0,712.0,3.35949285557,,,,8614.0,-4776.0,1.68232987259
中信期货,1668.0,254.0,2.82726240317,1336.0,15.0,2.26452192484,9013.0,-6080.0,1.76025529854
中国国际,992.0,-41.0,1.68144142923,,,,,,
中辉期货,,,,,,,9213.0,-6529.0,1.79931566242
倍特期货,,,,897.0,47.0,1.52041629235,,,
光大期货,2155.0,1100.0,3.65272810482,2842.0,276.0,4.81719409461,22740.0,-1199.0,4.44116337388
兴证期货,1836.0,128.0,3.11202264522,,,,27711.0,-9929.0,5.41200871827
冠通期货,,,,,,,12075.0,-1188.0,2.35826946964
前二十名合计,31059.0,3850.0,52.6450497483,28243.0,2892.0,47.8719256911,306867.0,-129218.0,59.9316834236
前五名合计,10933.0,2347.0,18.5314507517,11584.0,2044.0,19.6348966897,141232.0,-48157.0,27.582866562
前十名合计,19091.0,2884.0,32.3592725054,18549.0,2200.0,31.4405817245,215523.0,-85196.0,42.0920340294
华信期货,,,,,,,13142.0,-7463.0,2.56665651097
华安期货,1298.0,10.0,2.2001118701,1958.0,396.0,3.31881282099,12790.0,-5538.0,2.49791027053
华泰期货,1206.0,72.0,2.04417173755,937.0,34.0,1.58821634998,20762.0,-1431.0,4.05485637504
南华期货,1343.0,143.0,2.27638693493,1103.0,205.0,1.86958658915,,,
国泰君安,1025.0,40.0,1.73737647677,957.0,115.0,1.6221163788,7567.0,-9809.0,1.47784886764
安粮期货,,,,,,,8480.0,-6709.0,1.65615942878
宏源期货,998.0,40.0,1.69161143787,944.0,36.0,1.60008136007,,,
广州期货,,,,848.0,19.0,1.43736122176,,,
建信期货,,,,,,,32825.0,-8994.0,6.41078222285
弘业期货,,,,1449.0,103.0,2.45605708765,,,
徽商期货,2451.0,37.0,4.15444853128,2975.0,991.0,5.04262928623,24594.0,-16532.0,4.8032529471
方正中期,1314.0,40.0,2.22723189315,1771.0,216.0,3.00184755157,7406.0,-2038.0,1.44640527471
格林大华期货,,,,1197.0,68.0,2.02891672458,,,
永安期货,1287.0,45.0,2.18146685425,1563.0,165.0,2.64928725189,,,
浙商期货,1580.0,-140.0,2.67810227639,1420.0,-195.0,2.40690204587,,,
海通期货,2104.0,394.0,3.56628303134,,,,14658.0,-11994.0,2.86273406923
申银万国,1473.0,-7.0,2.49673712223,,,,12538.0,-1738.0,2.44869421204
美尔雅,,,,846.0,-135.0,1.43397121888,,,
西部期货,,,,,,,12939.0,-10613.0,2.52701024163
金瑞期货,,,,,,,33362.0,-11503.0,6.51565929988
银河期货,2241.0,104.0,3.79849822872,2038.0,165.0,3.45441293625,,,
首创期货,,,,,,,7661.0,-2710.0,1.49620723867
鲁证期货,1601.0,302.0,2.71369730664,,,,,,
