member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
上海东证,733.0,-75.0,1.5220731758,692.0,34.0,1.43693674987,3371.0,831.0,4.58153252331
东航期货,1555.0,-83.0,3.22895469081,,,,1308.0,360.0,1.77770529234
中信建投,,,,905.0,329.0,1.87923086507,1231.0,530.0,1.67305444562
中信期货,4351.0,-3.0,9.03484363969,6218.0,-381.0,12.9116657669,5270.0,4.0,7.16246704178
中国国际,1423.0,-2.0,2.95485692927,,,,,,
中粮期货,,,,700.0,-2.0,1.45354873541,,,
中融汇信,,,,,,,2077.0,302.0,2.82285465764
中金期货,870.0,104.0,1.8065534283,,,,,,
光大期货,1272.0,74.0,2.64130570206,,,,1461.0,-188.0,1.98564788388
兴业期货,,,,772.0,56.0,1.60305660534,,,
兴证期货,,,,,,,2171.0,695.0,2.95061023676
前二十名合计,35794.0,655.0,74.3261763362,37564.0,648.0,78.0015781386,48629.0,6089.0,66.0917665607
前五名合计,19473.0,270.0,40.435649321,19950.0,-214.0,41.4261389593,25181.0,1272.0,34.2235450814
前十名合计,27135.0,549.0,56.3457784792,28875.0,161.0,59.9588853358,34926.0,2662.0,47.4679931501
北京首创,847.0,-13.0,1.75879396985,,,,,,
华安期货,1403.0,209.0,2.91332696541,,,,,,
华泰期货,2009.0,81.0,4.17168487063,926.0,-60.0,1.92283732713,1479.0,422.0,2.01011171818
和融期货,,,,1224.0,-55.0,2.54163378878,,,
国投安信,760.0,25.0,1.57813862702,,,,,,
国泰君安,4935.0,168.0,10.2475185847,2701.0,181.0,5.6086216205,5615.0,-142.0,7.63135719916
国海良时,,,,905.0,-65.0,1.87923086507,,,
国贸期货,736.0,2.0,1.52830267038,,,,,,
国金期货,,,,,,,2004.0,-4.0,2.72364021854
天风期货,,,,842.0,25.0,1.74841147888,,,
宝城期货,,,,3627.0,200.0,7.53145894763,,,
平安期货,,,,3285.0,-359.0,6.82129656547,1303.0,222.0,1.77090978282
广发期货,3376.0,1.0,7.01025790108,3740.0,441.0,7.76610324349,1512.0,229.0,2.05496208106
招商期货,754.0,-13.0,1.56567963786,,,,3468.0,453.0,4.71336540814
新湖期货,1047.0,-26.0,2.17409360854,,,,,,
方正中期,,,,,,,1959.0,595.0,2.6624806328
格林大华,,,,1635.0,-459.0,3.39507454629,1481.0,1180.0,2.01282992199
永安期货,4202.0,9.0,8.72544540886,3080.0,-115.0,6.39561443582,1534.0,-198.0,2.08486232298
浙商期货,,,,1306.0,255.0,2.71190664064,,,
海通期货,2609.0,95.0,5.4175837867,1907.0,228.0,3.9598820549,7457.0,126.0,10.134822909
申银万国,,,,,,,1420.0,436.0,1.92992470575
第一创业,723.0,6.0,1.50130819386,,,,,,
西部期货,,,,,,,1253.0,77.0,1.70295468754
银河期货,1170.0,-81.0,2.42950288633,742.0,232.0,1.54076165954,,,
长江期货,,,,981.0,-7.0,2.03704472777,,,
鲁证期货,1019.0,177.0,2.11595165912,1376.0,170.0,2.85726151418,1255.0,159.0,1.70567289135
