,commodity_name,passive_flow,active_flow,flow
0,A,0.02,-0.12,-0.1
1,AG,-0.34,0.57,0.23
2,AL,-0.31,-0.99,-1.3
3,AU,-0.38,0.57,0.19
4,BU,-0.18,-0.98,-1.16
5,C,-0.02,-0.22,-0.24
6,CF,-0.18,-1.22,-1.4
7,CS,-0.01,-0.07,-0.08
8,CU,-0.7,-4.04,-4.74
9,FG,-0.02,-0.59,-0.61
10,HC,-0.14,-0.95,-1.09
11,I,0.62,-2.02,-1.4
12,J,-0.66,-2.23,-2.89
13,JD,0.0,-0.29,-0.29
14,JM,0.17,-1.92,-1.75
15,L,-0.23,-0.05,-0.28
16,M,-0.07,0.17,0.1
17,MA,-0.17,0.26,0.09
18,NI,-1.14,-3.95,-5.09
19,OI,-0.18,0.08,-0.1
20,P,-0.3,1.05,0.75
21,PP,-0.16,-0.46,-0.62
22,RB,-0.72,-3.64,-4.36
23,RM,0.01,0.35,0.36
24,RU,-2.45,4.85,2.4
25,SR,-0.02,-0.15,-0.17
26,T,-0.01,-0.35,-0.36
27,TA,-0.22,-1.51,-1.73
28,TF,0.0,-0.13,-0.13
29,V,-0.03,-0.57,-0.6
30,Y,-0.66,0.14,-0.52
31,ZC,-0.36,-1.63,-1.99
32,ZN,-0.26,-3.66,-3.92
