DateTime,JM1805.DCE,J1805.DCE,RB1805.SHF,BU1806.SHF,Y1805.DCE,I1805.DCE,RU1805.SHF,MA805.CZC,ZC805.CZC,A1805.DCE,C1805.DCE,RM805.CZC
2018/2/1,1289,1999.5,3931,2876,5696,506.5,12955,2772,666,3472,1805,2338
2018/2/2,1331.5,2045,3961,2890,5630,513.5,13005,2774,660.4,3467,1804,2311
2018/2/5,1369,2123.5,3967,2864,5610,526.5,13055,2803,664.2,3494,1816,2313
2018/2/6,1359,2119.5,3943,2808,5600,521,12585,2816,657.4,3500,1815,2303
2018/2/7,1368,2155.5,3937,2814,5632,526.5,12655,2799,653.6,3519,1825,2335
2018/2/8,1364,2147,3930,2766,5640,524,12390,2787,646.4,3538,1826,2338
2018/2/9,1356,2105.5,3895,2742,5620,523.5,12450,2768,648.4,3560,1824,2334
2018/2/12,1364,2110.5,3918,2706,5644,523,12520,2722,634.4,3562,1818,2380
2018/2/13,1364.5,2111.5,3921,2698,5650,529,12450,2717,636,3561,1800,2371
2018/2/14,1373.5,2141.5,3934,2684,5634,539.5,12500,2719,643.2,3568,1812,2380
,,,,,,,,,,,,
,,,,,,,,,,,,
数据来源：Wind,,,,,,,,,,,,
