,Trend Level,KDJ,Contango,Seasonal,Last Trend
CU1710,long_1,null,0.3%,64%,long_1
MA801,long_1,null,4.8%,60%,long_1
AU1712,long_1,bottom deviate,null,59%,long_1
RU1801,long_1,null,22.8%,53%,long_1
ZC801,long_1,null,1.2%,50%,long_1
ZN1710,long_1,gold cross,-0.9%,50%,long_2
L1801,long_1,death cross,3.7%,44%,long_1
V1801,long_1,null,null,38%,long_1
NI1801,long_1,top deviate,0.9%,33%,long_1
PP1801,long_1,null,3.3%,33%,long_1
TA801,long_1,top deviate,2.2%,33%,long_1
AL1710,long_1,null,2.1%,25%,long_1
RB1801,long_1,null,-4.1%,13%,long_1
HC1801,long_1,null,0.4%,0%,long_1
JM1801,long_2,top deviate,9.8%,50%,long_3
I1801,long_2,top deviate,-5.1%,33%,long_3
OI801,long_2,gold cross,3.7%,30%,long_2
CS1801,long_2,null,-12.2%,0%,null
JD1801,long_2,null,null,0%,long_2
J1801,long_3,top deviate,0.9%,33%,long_3
BU1712,long_3,null,4.2%,0%,long_3
FG801,long_3,top deviate,-4.4%,0%,long_3
A1801,short_1,null,-1.4%,41%,short_1
RM801,short_1,top deviate,-5.7%,25%,short_1
