,Level,KDJ,Contango,hm_down,hm_up,Seasonal,LastLevel
ZC801,long_1,top deviate,-0.4%,0,0,50%,long_1
P1801,long_1,null,-0.5%,0,0,44%,long_1
J1801,long_1,bottom deviate,0.4%,1,0,33%,long_1
JD1801,long_2,null,null,0,0,67%,null
Y1801,long_2,gold cross,-0.2%,0,1,45%,null
AL1711,long_2,null,2.3%,0,0,42%,long_2
OI801,long_2,top deviate,2.9%,0,0,30%,null
SN1711,short_1,top deviate,null,0,0,67%,short_1
SR801,short_1,top deviate,-5.4%,0,1,55%,short_1
A1801,short_1,bottom deviate,-2.1%,0,1,47%,short_1
M1801,short_1,top deviate,-3.5%,0,0,41%,short_2
RM801,short_1,top deviate,-7.8%,0,0,25%,short_1
