,Level,KDJ,Contango,hm_up,Seasonal,LastLevel
JD1801,long_1,null,null,h5>h60,67%,long_1
RM801,long_1,null,-4.8%,h5>h60|today,50%,null
ZN1712,long_1,null,-3.8%,h5>h60|today,50%,long_1
CU1712,long_1,null,1.4%,h5>h60,43%,long_1
NI1801,long_1,null,4.0%,h5>h60,42%,null
M1801,long_1,null,-1.9%,h5>h60|today,35%,null
P1801,long_2,null,-2.6%,h5>h60|today,67%,long_2
Y1801,short_1,null,1.5%,null,64%,short_1
MA801,short_1,null,-4.6%,null,60%,short_1
TA801,short_1,null,-0.8%,h5<h60,56%,short_1
RU1801,short_1,null,19.1%,h5>h60|today,53%,short_1
CS1801,short_1,null,-10.5%,h5<h60,50%,short_1
ZC801,short_1,null,-14.0%,null,50%,short_1
CF801,short_1,null,-6.3%,h5<h60,46%,short_1
C1801,short_1,null,0.1%,h5<h60,42%,short_1
A1801,short_1,null,4.5%,h5<h60,41%,short_1
AU1712,short_1,gold cross,null,h5>h60|today,41%,short_1
V1801,short_1,null,null,h5<h60,25%,short_1
