,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
RU,long_1,null,null,16.8%,-0.017209705372616985,-0.015875216637781631,h>h60,h5>h60,76%,long_1
FG,long_1,null,null,-4.5%,-0.084998878420816548,-0.02817406908927763,h>h60,h5>h60,75%,long_1
I,long_1,null,bottom deviate,1.9%,-0.064611005692599643,-0.044592030360531311,h>h60,h5>h60,75%,long_1
NI,long_1,null,null,-0.5%,-0.036218354430379747,-0.043966244725738395,h>h60,h5>h60,69%,long_1
ZN,long_1,null,null,-1.2%,-0.038800653594771292,-0.0086732026143791323,h>h60,h5>h60,69%,long_1
CU,long_1,null,null,0.1%,-0.014204439470248088,-0.021786980041037119,h>h60,h5>h60,67%,long_1
PP,long_1,null,null,0.7%,-0.042365614641879289,-0.0217304366623432,h>h60,h5>h60,67%,long_1
MA,long_1,null,null,-16.7%,-0.045292535305985142,-0.022763954270342911,h>h60,h5>h60,50%,long_1
ZC,long_1,null,bottom deviate,-8.8%,-0.095497481108312285,-0.070040931989924088,h>h60,h5>h60,50%,long_1
JM,long_1,null,bottom deviate,-0.6%,-0.10806795998047833,-0.056844802342606214,h>h60,h5>h60,25%,long_1
CS,long_1,null,null,-3.5%,-0.018814432989690766,-0.015463917525773196,h>h60,h5>h60,0%,long_1
IH,long_2,2_long,bottom deviate,null,-0.051151634440871396,-0.004984950077287568,h>h60,h5>h60,0%,long_2
SF,long_2,2_long,bottom deviate,null,-0.051151634440871396,-0.004984950077287568,h>h60,h5>h60,0%,long_2
L,null,null,null,0.0%,-0.0069580962234868085,-0.0095706156233833425,h>h60,h5>h60,80%,null
BU,null,null,null,5.1%,0.0088502269288956471,-0.0056732223903177004,h>h60,h5>h60,50%,null
J,null,null,bottom deviate,-7.7%,-0.014057482337829188,0.014053468208092574,h<h60,null,50%,long_2
RM,null,null,null,0.3%,-0.022526323380931801,0.011769796624837655,h<h60,h5<h60,50%,long_2
V,null,null,top deviate,3.4%,-0.015600991325898435,-0.042081784386617103,h>h60,h5>h60,50%,null
AG,null,null,bottom deviate,null,0.037144736842105286,-0.0086315789473684693,h>h60,h5>h60,47%,null
IF,null,2_short,bottom deviate,-0.4%,0.0091095988603903024,0.00084168671826591649,h>h60,h5>h60,47%,null
P,short_1,null,null,2.1%,0.04832448153768331,0.051618614061709638,h<h60,h5<h60,80%,short_1
TF,short_1,null,null,null,0.0069682827759065475,0.0018313023939158977,h>h60,h5>h60,75%,short_1
HC,short_1,null,top deviate,-9.9%,0.01434654153632255,0.020737747653806097,h<h60,h5<h60,67%,short_1
M,short_1,null,null,-4.7%,0.0055297895112379593,0.012557973599714526,h<h60,h5<h60,65%,short_1
RB,short_1,null,top deviate,-17.4%,0.011348265261308724,0.01238471673254282,h<h60,h5<h60,63%,short_1
AL,short_1,null,null,1.0%,0.069629061576914383,0.06888775278345835,h>h60,h5>h60,62%,short_1
TA,short_1,3_short,null,-5.3%,0.0043074637950241031,0.005829929446713635,h>h60,h5>h60|today,60%,short_1
IC,short_1,null,null,0.2%,0.021711013792895938,0.0061039737853309933,h<h60,null,57%,null
AU,short_1,null,bottom deviate,null,0.014071783678913151,0.0056475081847942961,h>h60,h5>h60,53%,short_1
T,short_1,null,null,null,0.013990899789994887,0.0054179455423322941,h>h60,h5>h60,50%,short_1
JD,short_1,null,death cross,null,0.020257488176563296,0.026431949553336814,h<h60,h5<h60,0%,short_1
