,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,null,16.0,-0.086728013197236192,-0.057351273327147186,h>h60,h5>h60,100.0,long_1,5.0
TA,long_1,null,top deviate,2.0,-0.020784453134257624,-0.0086029150373266323,h>h60,null,80.0,long_1,1.9
L,long_1,null,top deviate,-1.0,-0.017266430140226451,-0.010086163203243792,null,null,70.0,long_1,1.4
ZN,long_1,null,top deviate,-0.0,-0.044034434472662511,-0.027121125326204615,h>h60,h5>h60|today,69.0,long_1,1.5
HC,long_1,null,null,5.0,-0.015082189459413697,-0.017056431113370591,h>h60,h5>h60|today,67.0,short_1,4.0
PP,long_1,2_long,top deviate,0.0,-0.042047774961273085,-0.0031474440219686601,null,null,67.0,null,1.5
RB,long_1,null,null,2.0,-0.032685675834805278,-0.032172596517789552,h>h60,h5>h60,63.0,null,3.6
IH,long_1,null,top deviate,1.0,-0.070257077594814837,-0.02683588853750473,null,null,62.0,long_1,1.5
IF,long_1,null,top deviate,0.0,-0.041718902941771212,-0.032370607177860458,null,null,60.0,long_1,1.4
I,long_1,null,gold cross,1.0,-0.071972477064220219,-0.026574923547400639,h>h60,h5>h60|today,50.0,long_1,3.4
RM,long_2,2_long,null,-1.0,-0.016032056861038597,-0.0031984334203654955,h>h60,h5>h60,75.0,long_2,3.0
FG,null,null,null,1.0,-0.052040816326530612,0.0053514739229024218,h<h60,h5<h60|today,80.0,long_1,0.0
IC,null,null,null,0.0,0.0030502015715459783,0.0070855544466370711,null,null,75.0,null,0.0
AU,null,3_long,null,0.0,-0.0025990320846038723,0.0011471589890663203,h<h60,h5<h60,65.0,null,0.0
M,null,3_short,null,3.0,0.0019734481521349119,-0.0042518837459633689,h>h60,h5>h60,65.0,short_1,0.0
V,null,null,top deviate,-1.0,0.0048600699650175371,0.0048475762118940077,null,null,63.0,null,0.0
NI,null,3_long,top deviate,-1.0,-0.0031841302136317398,0.0064496439471007118,h>h60,null,62.0,short_1,0.0
J,null,null,null,15.0,0.0072556762092793907,-0.0032699901283316881,h>h60,h5>h60|today,50.0,short_1,0.0
SF,null,null,null,0.0,-0.027142994889596032,-0.045169221868672282,null,null,50.0,null,0.0
BU,null,null,null,-13.0,-0.021357575757575679,0.00058181818181814876,h<h60,h5<h60|today,25.0,long_1,0.0
JM,null,null,top deviate,8.0,-0.029113680154142653,0.021901091843288433,h<h60,h5<h60,25.0,null,0.0
CS,short_1,null,null,6.0,0.013006193425440772,0.010004764173415913,null,null,100.0,short_2,1.9
MA,short_1,null,null,12.0,0.031999288509427189,0.03500533617929566,h<h60,h5<h60,83.0,short_1,1.8
RU,short_1,null,null,-14.0,0.0077943615257047658,0.0097251836057806636,h<h60,h5<h60,82.0,long_2,3.8
CU,short_1,null,null,-1.0,0.024514200298953664,0.017320627802690582,h<h60,h5<h60,73.0,short_1,3.0
AG,short_1,null,null,0.0,0.01384768843785238,0.010642727036169683,h<h60,h5<h60,71.0,short_1,2.9
AL,short_1,null,top deviate,-1.0,0.077343217450579413,0.034742104067257397,h<h60,h5<h60,54.0,short_1,3.3
P,short_1,null,null,-2.0,0.065885920763969569,0.050677506775067785,h<h60,h5<h60,50.0,short_1,3.4
JD,short_1,null,null,0.0,0.025061025223759179,0.018185516680227876,null,null,0.0,short_1,4.0
T,short_1,null,top deviate,0.0,0.023777389213703946,0.01225069668324099,null,null,0.0,short_1,4.0
TF,short_2,null,null,0.0,0.012394346560709131,0.0064428992175109279,null,null,50.0,short_2,2.8
