,VOLUME,OI
2010-01-04,57752.0,50616.0
2010-01-05,74798.0,53249.0
2010-01-06,73904.0,54527.0
2010-01-07,86698.0,50062.0
2010-01-08,53716.0,45541.0
2010-01-11,51302.0,46999.0
2010-01-12,38234.0,47165.0
2010-01-13,49252.0,41915.0
2010-01-14,27014.0,40619.0
2010-01-15,25270.0,39341.0
2010-01-18,25412.0,39788.0
2010-01-19,19448.0,40547.0
2010-01-20,32490.0,40669.0
2010-01-21,38986.0,39762.0
2010-01-22,35292.0,38339.0
2010-01-25,34950.0,38894.0
2010-01-26,37918.0,36691.0
2010-01-27,28192.0,37259.0
2010-01-28,36302.0,33511.0
2010-01-29,27932.0,32473.0
2010-02-01,27820.0,31712.0
2010-02-02,34270.0,31080.0
2010-02-03,22686.0,29873.0
2010-02-04,20660.0,30780.0
2010-02-05,35700.0,27877.0
2010-02-08,18356.0,27875.0
2010-02-09,16136.0,27910.0
2010-02-10,15046.0,26149.0
2010-02-11,11930.0,25920.0
2010-02-12,13110.0,24913.0
2010-02-22,18470.0,25200.0
2010-02-23,19936.0,26461.0
2010-02-24,16490.0,27257.0
2010-02-25,25200.0,28679.0
2010-02-26,32442.0,30632.0
2010-03-01,23066.0,28283.0
2010-03-02,24652.0,29193.0
2010-03-03,32232.0,32291.0
2010-03-04,30632.0,29767.0
2010-03-05,19616.0,30206.0
2010-03-08,23400.0,31356.0
2010-03-09,23422.0,28688.0
2010-03-10,19254.0,28789.0
2010-03-11,22378.0,28284.0
2010-03-12,14970.0,27674.0
2010-03-15,18538.0,26535.0
2010-03-16,17994.0,27652.0
2010-03-17,21258.0,29409.0
2010-03-18,15000.0,28808.0
2010-03-19,14040.0,28511.0
2010-03-22,19182.0,28363.0
2010-03-23,17904.0,28364.0
2010-03-24,22050.0,27874.0
2010-03-25,22358.0,29068.0
2010-03-26,19008.0,28976.0
2010-03-29,22830.0,26385.0
2010-03-30,15366.0,25100.0
2010-03-31,14766.0,24481.0
2010-04-01,15094.0,23432.0
2010-04-02,18890.0,21288.0
2010-04-06,11272.0,20121.0
2010-04-07,15292.0,18554.0
2010-04-08,15164.0,16575.0
2010-04-09,18430.0,16216.0
2010-04-12,10376.0,14728.0
2010-04-13,7916.0,13463.0
2010-04-14,7990.0,11876.0
2010-04-15,14914.0,17467.0
2010-04-16,9956.0,17647.0
2010-04-19,21200.0,16196.0
2010-04-20,21060.0,18622.0
2010-04-21,19206.0,19356.0
2010-04-22,16356.0,19790.0
2010-04-23,16646.0,19646.0
2010-04-26,18808.0,21454.0
2010-04-27,17950.0,22719.0
2010-04-28,21458.0,23975.0
2010-04-29,16250.0,24720.0
2010-04-30,19850.0,25892.0
2010-05-04,23662.0,24205.0
2010-05-05,24552.0,23669.0
2010-05-06,27734.0,24526.0
2010-05-07,34792.0,26142.0
2010-05-10,37106.0,27088.0
2010-05-11,33772.0,28284.0
2010-05-12,46428.0,29420.0
2010-05-13,37740.0,29525.0
2010-05-14,40830.0,29694.0
2010-05-17,66552.0,29923.0
2010-05-18,56578.0,30407.0
2010-05-19,75546.0,29217.0
2010-05-20,64916.0,27091.0
2010-05-21,73574.0,25749.0
2010-05-24,44208.0,25649.0
2010-05-25,54428.0,26706.0
2010-05-26,44236.0,27636.0
2010-05-27,48384.0,26666.0
2010-05-28,50270.0,26737.0
2010-05-31,31608.0,25511.0
2010-06-01,46650.0,26453.0
2010-06-02,42082.0,26501.0
2010-06-03,33872.0,26586.0
2010-06-04,44450.0,28343.0
2010-06-07,43016.0,26991.0
