,VOLUME,OI
2013-10-10,204880.0,27004.0
2013-10-11,180100.0,30468.0
2013-10-14,148998.0,33693.0
2013-10-15,201544.0,31850.0
2013-10-16,206374.0,33539.0
2013-10-17,142864.0,36501.0
2013-10-18,88740.0,37582.0
2013-10-21,154962.0,29419.0
2013-10-22,57890.0,28070.0
2013-10-23,85280.0,27038.0
2013-10-24,161110.0,26767.0
2013-10-25,115570.0,20111.0
2013-10-28,355282.0,46966.0
2013-10-29,231734.0,46389.0
2013-10-30,391474.0,30197.0
2013-10-31,128838.0,26599.0
2013-11-01,191472.0,21456.0
2013-11-04,93718.0,21101.0
2013-11-05,125920.0,19873.0
2013-11-06,71154.0,20846.0
2013-11-07,113300.0,30680.0
2013-11-08,103258.0,33967.0
2013-11-11,61468.0,31625.0
2013-11-12,88114.0,25194.0
2013-11-13,65264.0,26237.0
2013-11-14,51534.0,28220.0
2013-11-15,105770.0,28014.0
2013-11-18,49598.0,25522.0
2013-11-19,72202.0,26574.0
2013-11-20,75654.0,26163.0
2013-11-21,33340.0,25223.0
2013-11-22,75342.0,25128.0
2013-11-25,84024.0,25932.0
2013-11-26,221656.0,23652.0
2013-11-27,76758.0,21653.0
2013-11-28,47474.0,19465.0
2013-11-29,41974.0,18391.0
2013-12-02,46012.0,19236.0
2013-12-03,81870.0,20677.0
2013-12-04,93100.0,23141.0
2013-12-05,57462.0,19761.0
2013-12-06,135882.0,29945.0
2013-12-09,119214.0,23441.0
2013-12-10,50566.0,23178.0
2013-12-11,33290.0,22338.0
2013-12-12,79410.0,24811.0
2013-12-13,86970.0,23066.0
2013-12-16,34804.0,21476.0
2013-12-17,35108.0,21131.0
2013-12-18,22778.0,20819.0
2013-12-19,14012.0,20270.0
2013-12-20,30948.0,21501.0
2013-12-23,22338.0,20807.0
2013-12-24,15596.0,20941.0
2013-12-25,16528.0,21625.0
2013-12-26,66716.0,25667.0
2013-12-27,57464.0,21916.0
2013-12-30,22012.0,19314.0
2013-12-31,23528.0,20212.0
2014-01-02,22642.0,20652.0
2014-01-03,22232.0,20416.0
2014-01-06,15122.0,20221.0
2014-01-07,23584.0,21748.0
2014-01-08,36410.0,20446.0
2014-01-09,22262.0,19051.0
2014-01-10,9368.0,18675.0
2014-01-13,11788.0,17997.0
2014-01-14,17872.0,17263.0
2014-01-15,21692.0,18805.0
2014-01-16,14170.0,17349.0
2014-01-17,12816.0,17039.0
2014-01-20,13012.0,15181.0
2014-01-21,7672.0,15125.0
2014-01-22,5568.0,14635.0
2014-01-23,2362.0,14006.0
2014-01-24,7500.0,12131.0
2014-01-27,7680.0,10993.0
2014-01-28,6692.0,9363.0
2014-01-29,6764.0,8535.0
2014-01-30,6080.0,8244.0
2014-02-07,8012.0,7156.0
2014-02-10,7392.0,6064.0
2014-02-11,3824.0,5500.0
2014-02-12,6856.0,3653.0
2014-02-13,196.0,3590.0
2014-02-14,952.0,3116.0
2014-02-17,12282.0,5625.0
2014-02-18,7886.0,5633.0
2014-02-19,6848.0,5475.0
2014-02-20,18446.0,6436.0
2014-02-21,9540.0,6817.0
2014-02-24,6308.0,6750.0
2014-02-25,6042.0,6646.0
2014-02-26,31196.0,10163.0
2014-02-27,12582.0,9685.0
2014-02-28,7212.0,8978.0
2014-03-03,6312.0,9108.0
2014-03-04,11122.0,9915.0
2014-03-05,6428.0,9507.0
2014-03-06,11586.0,9912.0
2014-03-07,13108.0,11509.0
2014-03-10,32022.0,14517.0
2014-03-11,15872.0,13807.0
2014-03-12,12222.0,14062.0
2014-03-13,11154.0,15486.0
2014-03-14,9806.0,15051.0
2014-03-17,9640.0,14967.0
2014-03-18,7580.0,14627.0
2014-03-19,19336.0,15366.0
2014-03-20,11094.0,14908.0
2014-03-21,11518.0,14554.0
2014-03-24,9510.0,14336.0
2014-03-25,13670.0,12892.0
2014-03-26,12960.0,12809.0
2014-03-27,8936.0,12296.0
2014-03-28,31536.0,13868.0
2014-03-31,14006.0,12780.0
2014-04-01,4980.0,13130.0
2014-04-02,11914.0,14189.0
2014-04-03,15724.0,16614.0
2014-04-04,8518.0,14844.0
2014-04-08,16012.0,13823.0
2014-04-09,6380.0,13999.0
2014-04-10,8100.0,14921.0
2014-04-11,4966.0,14871.0
2014-04-14,20108.0,13902.0
2014-04-15,3886.0,13404.0
2014-04-16,17076.0,13955.0
2014-04-17,9766.0,13506.0
2014-04-18,10082.0,12507.0
2014-04-21,9382.0,11964.0
2014-04-22,10482.0,11409.0
2014-04-23,6088.0,11368.0
2014-04-24,9354.0,11029.0
2014-04-25,5458.0,11043.0
2014-04-28,9982.0,10879.0
2014-04-29,8300.0,10667.0
2014-04-30,11488.0,9347.0
2014-05-05,6926.0,8327.0
2014-05-06,2166.0,7907.0
2014-05-07,3856.0,7856.0
2014-05-08,2208.0,7518.0
2014-05-09,1138.0,7402.0
2014-05-12,1280.0,7446.0
2014-05-13,884.0,7281.0
2014-05-14,860.0,7158.0
2014-05-15,1120.0,6879.0
2014-05-16,1394.0,6580.0
2014-05-19,2282.0,6344.0
2014-05-20,1310.0,6254.0
2014-05-21,2106.0,7061.0
2014-05-22,2174.0,7558.0
2014-05-23,696.0,7727.0
2014-05-26,1428.0,8078.0
2014-05-27,5268.0,9101.0
2014-05-28,4330.0,9676.0
2014-05-29,4998.0,10814.0
2014-05-30,4544.0,11261.0
2014-06-03,4212.0,12393.0
2014-06-04,2120.0,12861.0
2014-06-05,1450.0,13152.0
2014-06-06,1518.0,13205.0
2014-06-09,3244.0,13542.0
2014-06-10,3636.0,13747.0
2014-06-11,4056.0,13966.0
2014-06-12,1312.0,14006.0
2014-06-13,5878.0,13692.0
2014-06-16,1884.0,13606.0
2014-06-17,1244.0,13560.0
2014-06-18,1082.0,13442.0
2014-06-19,1932.0,13472.0
2014-06-20,1466.0,13368.0
2014-06-23,2062.0,13328.0
2014-06-24,2190.0,13665.0
2014-06-25,518.0,13684.0
2014-06-26,1056.0,13596.0
2014-06-27,678.0,13504.0
2014-06-30,1406.0,13488.0
2014-07-01,2066.0,13309.0
2014-07-02,3658.0,13270.0
2014-07-03,6022.0,13182.0
2014-07-04,5854.0,13981.0
2014-07-07,3064.0,13957.0
2014-07-08,3030.0,14400.0
2014-07-09,2030.0,14764.0
2014-07-10,1696.0,14904.0
2014-07-11,1198.0,14770.0
2014-07-14,1870.0,14464.0
2014-07-15,1596.0,14348.0
2014-07-16,1772.0,14189.0
2014-07-17,1322.0,13985.0
2014-07-18,800.0,13840.0
2014-07-21,3842.0,14492.0
2014-07-22,3514.0,14403.0
2014-07-23,5348.0,14595.0
2014-07-24,5798.0,14761.0
2014-07-25,3954.0,13986.0
2014-07-28,3596.0,13315.0
2014-07-29,1878.0,13340.0
2014-07-30,3110.0,13068.0
2014-07-31,7370.0,12973.0
2014-08-01,2850.0,12911.0
2014-08-04,2200.0,12732.0
2014-08-05,3918.0,12397.0
2014-08-06,2698.0,12454.0
2014-08-07,3030.0,12932.0
2014-08-08,2046.0,12418.0
2014-08-11,1320.0,12286.0
2014-08-12,1846.0,12245.0
2014-08-13,2398.0,12306.0
2014-08-14,918.0,12265.0
2014-08-15,1952.0,12448.0
2014-08-18,1440.0,12115.0
2014-08-19,1866.0,12096.0
2014-08-20,634.0,11950.0
2014-08-21,1548.0,11969.0
2014-08-22,1508.0,11965.0
2014-08-25,1766.0,11830.0
2014-08-26,5400.0,11231.0
2014-08-27,2968.0,10629.0
2014-08-28,6586.0,10266.0
2014-08-29,1692.0,10307.0
2014-09-01,678.0,10086.0
2014-09-02,1620.0,9420.0
2014-09-03,1758.0,8692.0
2014-09-04,1124.0,8289.0
2014-09-05,1582.0,7662.0
2014-09-09,4888.0,7428.0
2014-09-10,900.0,7033.0
2014-09-11,600.0,6777.0
2014-09-12,194.0,6736.0
2014-09-15,750.0,6361.0
2014-09-16,84.0,180.0
2014-09-17,20.0,184.0
2014-09-18,64.0,198.0
2014-09-19,68.0,189.0
2014-09-22,208.0,187.0
2014-09-23,14.0,186.0
2014-09-24,6.0,185.0
2014-09-25,34.0,192.0
2014-09-26,14.0,192.0
2014-09-29,52.0,194.0
2014-09-30,8.0,195.0
2014-10-08,28.0,196.0
2014-10-09,78.0,194.0
2014-10-10,42.0,198.0
2014-10-13,144.0,210.0
2014-10-14,160.0,206.0
2014-10-15,72.0,215.0
2014-10-16,10.0,218.0
2014-10-17,160.0,215.0
2014-10-20,18.0,220.0
2014-10-21,200.0,220.0
2014-10-22,138.0,221.0
2014-10-23,4.0,219.0
2014-10-24,8.0,219.0
2014-10-27,18.0,216.0
2014-10-28,12.0,216.0
2014-10-29,42.0,200.0
2014-10-30,12.0,197.0
2014-10-31,12.0,195.0
2014-11-03,148.0,193.0
2014-11-04,42.0,182.0
2014-11-05,52.0,168.0
2014-11-06,26.0,168.0
2014-11-07,38.0,160.0
2014-11-10,44.0,151.0
2014-11-11,20.0,143.0
2014-11-12,370.0,131.0
2014-11-13,84.0,116.0
2014-11-14,128.0,119.0
2014-11-17,320.0,120.0
2014-11-18,130.0,128.0
2014-11-19,172.0,116.0
2014-11-20,22.0,115.0
2014-11-21,12.0,113.0
2014-11-24,38.0,107.0
2014-11-25,10.0,106.0
2014-11-26,14.0,105.0
2014-11-27,6.0,104.0
2014-11-28,68.0,108.0
2014-12-01,36.0,109.0
2014-12-02,0.0,109.0
2014-12-03,8.0,108.0
2014-12-04,6.0,106.0
2014-12-05,32.0,96.0
2014-12-08,114.0,76.0
2014-12-09,22.0,74.0
2014-12-10,132.0,13.0
2014-12-11,0.0,13.0
2014-12-12,8.0,33.0
2014-12-15,0.0,33.0
2014-12-16,2.0,32.0
2014-12-17,2.0,32.0
2014-12-18,14.0,31.0
2014-12-19,0.0,31.0
2014-12-22,0.0,31.0
2014-12-23,0.0,31.0
2014-12-24,6.0,32.0
2014-12-25,12.0,33.0
2014-12-26,2.0,33.0
2014-12-29,28.0,40.0
2014-12-30,44.0,40.0
2014-12-31,40.0,42.0
2015-01-05,30.0,44.0
2015-01-06,318.0,142.0
2015-01-07,118.0,185.0
2015-01-08,304.0,274.0
2015-01-09,466.0,289.0
2015-01-12,1670.0,591.0
2015-01-13,2118.0,799.0
2015-01-14,8432.0,1224.0
2015-01-15,10706.0,1442.0
2015-01-16,6758.0,1485.0
2015-01-19,7322.0,2074.0
2015-01-20,5300.0,2160.0
2015-01-21,7654.0,2369.0
2015-01-22,6750.0,2473.0
2015-01-23,4420.0,2676.0
2015-01-26,8368.0,3159.0
2015-01-27,7556.0,3134.0
2015-01-28,5716.0,2932.0
2015-01-29,3776.0,3160.0
2015-01-30,4672.0,3329.0
2015-02-02,9582.0,3578.0
2015-02-03,11408.0,3870.0
2015-02-04,14940.0,4459.0
2015-02-05,9424.0,4914.0
2015-02-06,10294.0,4806.0
