,VOLUME,OI
2010-01-04,285600.0,80520.0
2010-01-05,270286.0,80076.0
2010-01-06,317130.0,86050.0
2010-01-07,585286.0,79904.0
2010-01-08,533576.0,77938.0
2010-01-11,313530.0,78266.0
2010-01-12,269398.0,75834.0
2010-01-13,379902.0,78713.0
2010-01-14,180786.0,75251.0
2010-01-15,157256.0,74116.0
2010-01-18,114758.0,70384.0
2010-01-19,88826.0,60410.0
2010-01-20,71244.0,55323.0
2010-01-21,354376.0,92969.0
2010-01-22,446150.0,102835.0
2010-01-25,316838.0,104897.0
2010-01-26,357058.0,108050.0
2010-01-27,336408.0,107489.0
2010-01-28,517296.0,112875.0
2010-01-29,533156.0,117188.0
2010-02-01,613814.0,108117.0
2010-02-02,459288.0,103008.0
2010-02-03,521488.0,99444.0
2010-02-04,448664.0,100661.0
2010-02-05,397578.0,97718.0
2010-02-08,287140.0,94295.0
2010-02-09,398498.0,96620.0
2010-02-10,369934.0,86051.0
2010-02-11,255914.0,82909.0
2010-02-12,214074.0,81083.0
2010-02-22,183196.0,71218.0
2010-02-23,150202.0,67446.0
2010-02-24,91510.0,62432.0
2010-02-25,347708.0,88853.0
2010-02-26,293268.0,94906.0
2010-03-01,441518.0,105863.0
2010-03-02,362298.0,107181.0
2010-03-03,290284.0,104946.0
2010-03-04,405516.0,109596.0
2010-03-05,360530.0,103933.0
2010-03-08,311090.0,105395.0
2010-03-09,287352.0,105082.0
2010-03-10,252260.0,105484.0
2010-03-11,387696.0,109350.0
2010-03-12,293558.0,103290.0
2010-03-15,347316.0,107076.0
2010-03-16,343412.0,101417.0
2010-03-17,297218.0,91515.0
2010-03-18,321864.0,86575.0
2010-03-19,253090.0,83696.0
2010-03-22,194780.0,82544.0
2010-03-23,205702.0,79580.0
2010-03-24,200252.0,79917.0
2010-03-25,192820.0,73183.0
2010-03-26,156490.0,63796.0
2010-03-29,116656.0,54280.0
2010-03-30,383356.0,107323.0
2010-03-31,325470.0,102693.0
2010-04-01,342966.0,114722.0
2010-04-02,290558.0,115718.0
2010-04-06,338164.0,116503.0
2010-04-07,278666.0,116229.0
2010-04-08,265748.0,110271.0
2010-04-09,249682.0,113911.0
2010-04-12,309684.0,113345.0
2010-04-13,295058.0,109024.0
2010-04-14,247050.0,106857.0
2010-04-15,280958.0,106368.0
2010-04-16,234972.0,109218.0
2010-04-19,332828.0,102419.0
2010-04-20,252638.0,99407.0
2010-04-21,293244.0,97176.0
2010-04-22,241354.0,92966.0
2010-04-23,215472.0,90053.0
2010-04-26,150236.0,82700.0
2010-04-27,156210.0,77539.0
2010-04-28,169054.0,61784.0
2010-04-29,62252.0,57796.0
2010-04-30,405156.0,79013.0
2010-05-04,296004.0,81227.0
2010-05-05,306942.0,85427.0
2010-05-06,495446.0,102411.0
2010-05-07,580912.0,106020.0
2010-05-10,536638.0,100650.0
2010-05-11,562498.0,105098.0
2010-05-12,577088.0,104318.0
2010-05-13,411162.0,99086.0
2010-05-14,362884.0,98056.0
2010-05-17,386272.0,99094.0
2010-05-18,654328.0,97622.0
2010-05-19,663350.0,93986.0
2010-05-20,499512.0,92427.0
2010-05-21,542860.0,95808.0
2010-05-24,391512.0,87053.0
2010-05-25,347128.0,83799.0
2010-05-26,185318.0,75305.0
2010-05-27,137944.0,67121.0
2010-05-28,88352.0,60310.0
2010-05-31,374814.0,83369.0
2010-06-01,474590.0,89479.0
2010-06-02,752414.0,95013.0
2010-06-03,580298.0,94891.0
2010-06-04,645076.0,102937.0
2010-06-07,24668.0,95004.0
2010-06-08,771642.0,108338.0
2010-06-09,701938.0,110154.0
2010-06-10,602078.0,100451.0
2010-06-11,475468.0,94397.0
2010-06-17,352064.0,97483.0
2010-06-18,487356.0,104228.0
2010-06-21,674852.0,96321.0
2010-06-22,497298.0,88880.0
2010-06-23,540272.0,89352.0
2010-06-24,449034.0,86805.0
2010-06-25,348126.0,80981.0
2010-06-28,309292.0,72078.0
2010-06-29,208308.0,58889.0
2010-06-30,110850.0,49517.0
2010-07-01,589474.0,99700.0
2010-07-02,596566.0,97790.0
2010-07-05,486776.0,96117.0
2010-07-06,561542.0,101790.0
2010-07-07,413992.0,103163.0
2010-07-08,417750.0,98278.0
2010-07-09,437496.0,102680.0
2010-07-12,410694.0,104876.0
2010-07-13,440522.0,104300.0
2010-07-14,397290.0,104215.0
2010-07-15,425586.0,105633.0
2010-07-16,399046.0,104612.0
2010-07-19,386906.0,107614.0
2010-07-20,330972.0,107645.0
2010-07-21,324946.0,104830.0
2010-07-22,356960.0,100373.0
2010-07-23,361868.0,91500.0
2010-07-26,238368.0,82097.0
2010-07-27,187628.0,72665.0
2010-07-28,148230.0,65035.0
2010-07-29,81854.0,60017.0
2010-07-30,389258.0,92907.0
2010-08-02,451366.0,97607.0
2010-08-03,442306.0,99093.0
2010-08-04,432502.0,101962.0
2010-08-05,544078.0,105004.0
2010-08-06,377992.0,102585.0
2010-08-09,321068.0,102801.0
2010-08-10,348414.0,103686.0
2010-08-11,424108.0,101397.0
2010-08-12,437282.0,98091.0
2010-08-13,307672.0,101613.0
2010-08-16,331814.0,96167.0
2010-08-17,267078.0,92359.0
2010-08-18,261108.0,85214.0
2010-08-19,210912.0,81071.0
2010-08-20,150116.0,73438.0
2010-08-23,84254.0,71218.0
2010-08-24,72142.0,65966.0
2010-08-25,58886.0,60532.0
2010-08-26,268808.0,78107.0
2010-08-27,274574.0,79560.0
2010-08-30,337078.0,89182.0
2010-08-31,351750.0,89799.0
2010-09-01,401598.0,99967.0
2010-09-02,292038.0,97748.0
2010-09-03,199544.0,97203.0
2010-09-06,224354.0,96719.0
2010-09-07,270060.0,97028.0
2010-09-08,257974.0,98404.0
2010-09-09,448934.0,95469.0
2010-09-10,266398.0,96712.0
2010-09-13,238020.0,98457.0
2010-09-14,224946.0,98032.0
2010-09-15,220400.0,96016.0
2010-09-16,206278.0,93290.0
2010-09-17,204202.0,88418.0
2010-09-20,157886.0,79196.0
2010-09-21,118298.0,70890.0
2010-09-27,96216.0,66641.0
2010-09-28,45952.0,64241.0
2010-09-29,45002.0,59589.0
2010-09-30,68122.0,54382.0
2010-10-08,38558.0,51428.0
2010-10-11,336614.0,85066.0
2010-10-12,245052.0,82778.0
2010-10-13,230562.0,85949.0
2010-10-14,269974.0,90783.0
2010-10-15,172536.0,88791.0
2010-10-18,182832.0,87321.0
2010-10-19,235920.0,80158.0
2010-10-20,183842.0,77744.0
2010-10-21,170780.0,77140.0
2010-10-22,176856.0,73454.0
2010-10-25,189594.0,65775.0
2010-10-26,82418.0,59827.0
2010-10-27,74926.0,53194.0
2010-10-28,183540.0,72129.0
2010-10-29,218078.0,69968.0
2010-11-01,188812.0,75006.0
2010-11-02,187222.0,75220.0
2010-11-03,188782.0,75916.0
2010-11-04,161244.0,79562.0
2010-11-05,303444.0,93189.0
2010-11-08,236720.0,82607.0
2010-11-09,347252.0,92401.0
2010-11-10,265928.0,85980.0
2010-11-11,474080.0,104903.0
2010-11-12,575996.0,80703.0
2010-11-15,489822.0,70653.0
2010-11-16,359490.0,67006.0
2010-11-17,194546.0,55787.0
2010-11-18,203094.0,50917.0
2010-11-19,134110.0,48513.0
2010-11-22,78618.0,44596.0
2010-11-23,518934.0,69640.0
2010-11-24,313808.0,66440.0
2010-11-25,222544.0,71754.0
2010-11-26,462518.0,86289.0
2010-11-29,247844.0,81435.0
2010-11-30,296924.0,80607.0
2010-12-01,238882.0,82072.0
2010-12-02,239102.0,85780.0
2010-12-03,247250.0,89753.0
2010-12-06,170822.0,88464.0
2010-12-07,248860.0,96544.0
2010-12-08,272524.0,99630.0
2010-12-09,305180.0,106124.0
2010-12-10,221980.0,108631.0
2010-12-13,223558.0,113100.0
2010-12-14,218286.0,109015.0
2010-12-15,220088.0,109921.0
2010-12-16,272762.0,107763.0
2010-12-17,201638.0,107658.0
2010-12-20,260336.0,106575.0
2010-12-21,195218.0,104305.0
2010-12-22,190738.0,98267.0
2010-12-23,182500.0,94321.0
2010-12-24,177168.0,92270.0
2010-12-27,146430.0,88925.0
2010-12-28,133648.0,85631.0
2010-12-29,99140.0,82501.0
2010-12-30,143598.0,75140.0
2010-12-31,88112.0,64351.0
2011-01-04,186966.0,88157.0
2011-01-05,238022.0,87765.0
2011-01-06,159918.0,87168.0
2011-01-07,282776.0,81127.0
2011-01-10,158810.0,82043.0
2011-01-11,197066.0,87997.0
2011-01-12,136224.0,83991.0
2011-01-13,128712.0,84374.0
2011-01-14,137766.0,87010.0
2011-01-17,129944.0,87507.0
2011-01-18,195478.0,93762.0
2011-01-19,164338.0,95451.0
2011-01-20,167976.0,88046.0
2011-01-21,171138.0,84067.0
2011-01-24,129224.0,82343.0
2011-01-25,140672.0,79694.0
2011-01-26,120184.0,77947.0
2011-01-27,89326.0,75322.0
2011-01-28,96144.0,69504.0
2011-01-31,67888.0,63847.0
2011-02-01,52282.0,54132.0
2011-02-09,30150.0,49214.0
2011-02-10,106838.0,85485.0
2011-02-11,156100.0,90711.0
2011-02-14,132888.0,97925.0
2011-02-15,128904.0,98954.0
2011-02-16,165958.0,99108.0
2011-02-17,168292.0,103400.0
2011-02-18,185492.0,98889.0
2011-02-21,164650.0,95708.0
2011-02-22,198998.0,93787.0
2011-02-23,198250.0,91016.0
2011-02-24,202700.0,91204.0
2011-02-25,146676.0,91156.0
2011-02-28,159482.0,88764.0
2011-03-01,128618.0,86640.0
2011-03-02,162752.0,91728.0
2011-03-03,134454.0,85375.0
2011-03-04,133012.0,84086.0
2011-03-07,103238.0,81729.0
2011-03-08,187896.0,77528.0
2011-03-09,110128.0,75588.0
2011-03-10,146984.0,72788.0
2011-03-11,103920.0,68104.0
2011-03-14,118926.0,62465.0
2011-03-15,77378.0,56077.0
2011-03-16,40782.0,51492.0
2011-03-17,191584.0,74670.0
2011-03-18,161050.0,70025.0
2011-03-21,127890.0,69896.0
2011-03-22,143342.0,71001.0
2011-03-23,127862.0,73410.0
2011-03-24,119978.0,73358.0
2011-03-25,121144.0,73237.0
2011-03-28,185424.0,79151.0
2011-03-29,122582.0,78604.0
2011-03-30,135088.0,80164.0
2011-03-31,129000.0,76700.0
2011-04-01,105572.0,78961.0
2011-04-06,131674.0,81025.0
2011-04-07,99298.0,84186.0
2011-04-08,158708.0,88506.0
2011-04-11,110746.0,88146.0
2011-04-12,127074.0,85459.0
2011-04-13,121528.0,79807.0
2011-04-14,111378.0,77709.0
2011-04-15,132540.0,78638.0
2011-04-18,93748.0,78081.0
2011-04-19,130316.0,69613.0
2011-04-20,70240.0,64050.0
2011-04-21,57740.0,58849.0
2011-04-22,31816.0,55676.0
2011-04-25,108296.0,66747.0
2011-04-26,158042.0,73865.0
2011-04-27,178332.0,88277.0
2011-04-28,192022.0,83051.0
2011-04-29,187734.0,92911.0
2011-05-03,149720.0,96686.0
2011-05-04,254748.0,111704.0
2011-05-05,217704.0,113003.0
2011-05-06,225110.0,108233.0
2011-05-09,186718.0,110732.0
2011-05-10,242618.0,101603.0
2011-05-11,191562.0,106856.0
2011-05-12,279338.0,109508.0
2011-05-13,262886.0,100793.0
2011-05-16,188500.0,99929.0
2011-05-17,209506.0,96785.0
2011-05-18,137344.0,92152.0
2011-05-19,142324.0,86401.0
2011-05-20,113352.0,82543.0
2011-05-23,112174.0,76206.0
2011-05-24,69194.0,67320.0
2011-05-25,54328.0,59344.0
2011-05-26,169386.0,75124.0
2011-05-27,189456.0,86060.0
2011-05-30,144426.0,84758.0
2011-05-31,146384.0,83281.0
2011-06-01,150478.0,86152.0
2011-06-02,148090.0,87302.0
2011-06-03,135118.0,87655.0
2011-06-07,146066.0,89006.0
2011-06-08,183546.0,86834.0
2011-06-09,141616.0,90850.0
2011-06-10,169796.0,89733.0
2011-06-13,138486.0,95301.0
2011-06-14,139280.0,95745.0
2011-06-15,128904.0,88650.0
2011-06-16,106402.0,83562.0
2011-06-17,82528.0,80862.0
2011-06-20,110442.0,77317.0
2011-06-21,103406.0,73986.0
2011-06-22,76990.0,73652.0
2011-06-23,88092.0,67466.0
2011-06-24,56388.0,63241.0
2011-06-27,50142.0,53784.0
2011-06-28,19724.0,50734.0
2011-06-29,143574.0,75936.0
2011-06-30,199640.0,81548.0
2011-07-01,138622.0,83259.0
2011-07-04,134400.0,81610.0
2011-07-05,105684.0,78926.0
2011-07-06,113986.0,79726.0
2011-07-07,125352.0,83904.0
2011-07-08,122228.0,81683.0
2011-07-11,97496.0,81194.0
2011-07-12,118400.0,79073.0
2011-07-13,112694.0,80936.0
2011-07-14,90266.0,78032.0
