,VOLUME,OI
2015-04-17,228428.0,9144.0
2015-04-20,197562.0,10706.0
2015-04-21,265090.0,16732.0
2015-04-22,242068.0,14854.0
2015-04-23,264556.0,14805.0
2015-04-24,252762.0,14603.0
2015-04-27,250670.0,15187.0
2015-04-28,328240.0,15900.0
2015-04-29,268316.0,17677.0
2015-04-30,240236.0,16354.0
2015-05-04,203468.0,16271.0
2015-05-05,219974.0,15884.0
2015-05-06,223946.0,15456.0
2015-05-07,219198.0,15127.0
2015-05-08,242124.0,16258.0
2015-05-11,249444.0,16314.0
2015-05-12,304038.0,14671.0
2015-05-13,379316.0,14624.0
2015-05-14,225422.0,8971.0
2015-05-15,365324.0,28064.0
2015-05-18,405936.0,32183.0
2015-05-19,456976.0,33556.0
2015-05-20,479694.0,35302.0
2015-05-21,512920.0,38615.0
2015-05-22,571234.0,37707.0
2015-05-25,525510.0,39837.0
2015-05-26,517926.0,40848.0
2015-05-27,614692.0,42800.0
2015-05-28,721532.0,40149.0
2015-05-29,709256.0,40059.0
2015-06-01,514070.0,45365.0
2015-06-02,561614.0,44075.0
2015-06-03,669742.0,44367.0
2015-06-04,752320.0,35808.0
2015-06-05,675704.0,33977.0
2015-06-08,611512.0,31732.0
2015-06-09,644126.0,31957.0
2015-06-10,624674.0,34462.0
2015-06-11,535544.0,33448.0
2015-06-12,507486.0,29351.0
2015-06-15,474892.0,27571.0
2015-06-16,592336.0,20877.0
2015-06-17,510012.0,15555.0
2015-06-18,250480.0,6808.0
2015-06-19,771490.0,31879.0
2015-06-23,726020.0,34580.0
2015-06-24,672022.0,30433.0
2015-06-25,711332.0,29295.0
2015-06-26,592072.0,31210.0
2015-06-29,740220.0,26304.0
2015-06-30,835170.0,25361.0
2015-07-01,837648.0,24877.0
2015-07-02,1005046.0,20707.0
2015-07-03,815256.0,24505.0
2015-07-06,691710.0,23966.0
2015-07-07,253810.0,22106.0
2015-07-08,74140.0,15144.0
2015-07-09,34166.0,13333.0
2015-07-10,22220.0,11715.0
2015-07-13,191044.0,10281.0
2015-07-14,233214.0,6837.0
2015-07-15,185596.0,5579.0
2015-07-16,108004.0,1828.0
2015-07-17,269348.0,10762.0
2015-07-20,379038.0,11187.0
2015-07-21,371850.0,9804.0
2015-07-22,302420.0,10619.0
2015-07-23,344482.0,11372.0
2015-07-24,370974.0,11838.0
2015-07-27,307518.0,12095.0
2015-07-28,337712.0,11401.0
2015-07-29,358010.0,11127.0
2015-07-30,380780.0,11345.0
2015-07-31,299776.0,10625.0
2015-08-03,196856.0,11396.0
2015-08-04,263012.0,11310.0
2015-08-05,236190.0,10723.0
2015-08-06,245728.0,11038.0
2015-08-07,263024.0,11483.0
2015-08-10,216092.0,12475.0
2015-08-11,207626.0,11063.0
2015-08-12,227418.0,10608.0
2015-08-13,225796.0,11158.0
2015-08-14,233242.0,10775.0
2015-08-17,228932.0,10505.0
2015-08-18,272564.0,8469.0
2015-08-19,234978.0,5614.0
2015-08-20,262708.0,14151.0
2015-08-21,347698.0,13814.0
2015-08-24,178104.0,15574.0
2015-08-25,257596.0,15352.0
2015-08-26,338524.0,15626.0
2015-08-27,332484.0,15306.0
2015-08-28,259886.0,15107.0
2015-08-31,171628.0,13352.0
2015-09-01,218246.0,14164.0
2015-09-02,317552.0,14495.0
2015-09-07,23394.0,11072.0
2015-09-08,21672.0,9509.0
2015-09-09,18362.0,9401.0
2015-09-10,12790.0,9113.0
2015-09-11,12368.0,8907.0
2015-09-14,16306.0,7599.0
2015-09-15,13834.0,6912.0
2015-09-16,15416.0,5599.0
2015-09-17,8260.0,3636.0
2015-09-18,4368.0,0.0
2015-09-21,20084.0,8588.0
2015-09-22,18552.0,8743.0
2015-09-23,18102.0,9004.0
2015-09-24,17972.0,9329.0
2015-09-25,21374.0,8974.0
2015-09-28,18862.0,9251.0
2015-09-29,17744.0,9170.0
2015-09-30,14762.0,8796.0
2015-10-08,15712.0,9007.0
2015-10-09,14978.0,8901.0
2015-10-12,17032.0,8977.0
2015-10-13,13152.0,8048.0
2015-10-14,13950.0,6782.0
2015-10-15,11734.0,4445.0
2015-10-16,7506.0,0.0
2015-10-19,17372.0,8196.0
2015-10-20,17686.0,8956.0
2015-10-21,21414.0,9261.0
2015-10-22,21030.0,9983.0
2015-10-23,19880.0,10045.0
2015-10-26,18718.0,10328.0
2015-10-27,20714.0,10853.0
2015-10-28,19526.0,10741.0
2015-10-29,19488.0,11261.0
2015-10-30,20736.0,11732.0
2015-11-02,20588.0,12019.0
2015-11-03,19106.0,11972.0
2015-11-04,22480.0,12299.0
2015-11-05,19640.0,11270.0
2015-11-06,17694.0,11479.0
2015-11-09,16954.0,11298.0
2015-11-10,14602.0,10651.0
2015-11-11,14012.0,10705.0
2015-11-12,15290.0,10313.0
2015-11-13,15846.0,10101.0
2015-11-16,15446.0,9544.0
2015-11-17,15088.0,7899.0
2015-11-18,11882.0,6295.0
2015-11-19,8296.0,4034.0
2015-11-20,18014.0,12890.0
2015-11-23,18006.0,14000.0
2015-11-24,17316.0,14422.0
2015-11-25,16342.0,14962.0
2015-11-26,15972.0,14985.0
2015-11-27,22684.0,14526.0
2015-11-30,22080.0,15403.0
2015-12-01,20338.0,15420.0
2015-12-02,24202.0,15847.0
2015-12-03,19516.0,15908.0
2015-12-04,17334.0,15423.0
2015-12-07,17584.0,15365.0
2015-12-08,17684.0,15375.0
2015-12-09,16858.0,15264.0
2015-12-10,19134.0,14719.0
2015-12-11,17134.0,13989.0
2015-12-14,18378.0,12249.0
2015-12-15,13644.0,10390.0
2015-12-16,12048.0,8545.0
2015-12-17,10154.0,5797.0
2015-12-18,8588.0,0.0
2015-12-21,15760.0,12144.0
2015-12-22,14422.0,12143.0
2015-12-23,15862.0,12296.0
2015-12-24,15758.0,12843.0
2015-12-25,13468.0,12940.0
2015-12-28,17054.0,13027.0
2015-12-29,17502.0,13862.0
2015-12-30,15322.0,14413.0
2015-12-31,17042.0,14285.0
2016-01-04,11914.0,13616.0
2016-01-05,20412.0,14978.0
2016-01-06,19130.0,14346.0
2016-01-07,4392.0,13502.0
2016-01-08,21308.0,14367.0
2016-01-11,22472.0,13600.0
2016-01-12,22026.0,11939.0
2016-01-13,20840.0,10031.0
2016-01-14,17792.0,6155.0
2016-01-15,10972.0,0.0
2016-01-18,25074.0,14010.0
2016-01-19,23642.0,14526.0
2016-01-20,22776.0,14763.0
2016-01-21,26714.0,15924.0
2016-01-22,25710.0,16430.0
2016-01-25,20678.0,16152.0
2016-01-26,24496.0,16676.0
2016-01-27,28522.0,17346.0
2016-01-28,23972.0,17118.0
2016-01-29,27068.0,17250.0
2016-02-01,22420.0,16823.0
2016-02-02,23740.0,16643.0
2016-02-03,22602.0,15852.0
2016-02-04,22456.0,15626.0
2016-02-05,16660.0,14114.0
2016-02-15,19158.0,13380.0
2016-02-16,18230.0,11442.0
2016-02-17,15968.0,8589.0
2016-02-18,11956.0,5317.0
2016-02-19,23504.0,19870.0
2016-02-22,24270.0,20565.0
2016-02-23,23282.0,20712.0
2016-02-24,28148.0,20866.0
2016-02-25,32578.0,20947.0
2016-02-26,28870.0,21084.0
2016-02-29,33370.0,20867.0
2016-03-01,33892.0,20637.0
2016-03-02,34086.0,20637.0
2016-03-03,31440.0,20055.0
2016-03-04,35862.0,19314.0
2016-03-07,31372.0,18679.0
2016-03-08,34832.0,19015.0
2016-03-09,28736.0,18471.0
2016-03-10,30320.0,18455.0
2016-03-11,28582.0,18117.0
2016-03-14,31320.0,16512.0
2016-03-15,24302.0,14163.0
2016-03-16,25598.0,11604.0
2016-03-17,20010.0,6316.0
2016-03-18,9398.0,0.0
2016-03-21,28848.0,22327.0
2016-03-22,25432.0,22529.0
2016-03-23,26470.0,23020.0
2016-03-24,34424.0,22843.0
2016-03-25,27430.0,22661.0
2016-03-28,31158.0,22891.0
2016-03-29,33640.0,22247.0
2016-03-30,33290.0,22100.0
2016-03-31,29688.0,21598.0
2016-04-01,33334.0,20879.0
2016-04-05,32164.0,21156.0
2016-04-06,24768.0,20581.0
2016-04-07,30000.0,20086.0
2016-04-08,30112.0,19253.0
2016-04-11,28986.0,17578.0
