,VOLUME,OI
2010-04-19,109733.0,3954.0
2010-04-20,141862.0,4496.0
2010-04-21,114531.0,5062.0
2010-04-22,133247.0,5383.0
2010-04-23,116981.0,5808.0
2010-04-26,112229.0,7079.0
2010-04-27,139961.0,7386.0
2010-04-28,128530.0,7092.0
2010-04-29,116254.0,8705.0
2010-04-30,184157.0,8297.0
2010-05-04,150123.0,8261.0
2010-05-05,145542.0,9600.0
2010-05-06,170221.0,10150.0
2010-05-07,240106.0,8282.0
2010-05-10,201919.0,9873.0
2010-05-11,224626.0,8987.0
2010-05-12,273131.0,8144.0
2010-05-13,217422.0,8276.0
2010-05-14,185453.0,6237.0
2010-05-17,117625.0,4126.0
2010-05-18,40298.0,1924.0
2010-05-19,340531.0,12817.0
2010-05-20,293133.0,14774.0
2010-05-21,307325.0,13329.0
2010-05-24,300512.0,15770.0
2010-05-25,288927.0,15644.0
2010-05-26,326246.0,15219.0
2010-05-27,325500.0,16397.0
2010-05-28,306690.0,16764.0
2010-05-31,337678.0,18662.0
2010-06-01,420130.0,17746.0
2010-06-02,343923.0,18691.0
2010-06-03,342961.0,18712.0
2010-06-04,324387.0,16354.0
2010-06-07,289681.0,15673.0
2010-06-08,225087.0,16526.0
2010-06-09,314559.0,16740.0
2010-06-10,232630.0,14040.0
2010-06-11,169575.0,10034.0
2010-06-17,29949.0,4417.0
2010-06-18,14919.0,0.0
2010-06-21,277989.0,21545.0
2010-06-22,220831.0,19828.0
2010-06-23,238316.0,19132.0
2010-06-24,297949.0,18877.0
2010-06-25,249654.0,18599.0
2010-06-28,210541.0,20726.0
2010-06-29,298585.0,24070.0
2010-06-30,247753.0,21872.0
2010-07-01,243922.0,23657.0
2010-07-02,367858.0,24119.0
2010-07-05,359351.0,22692.0
2010-07-06,365680.0,22426.0
2010-07-07,318135.0,21290.0
2010-07-08,254951.0,21332.0
2010-07-09,327713.0,20855.0
2010-07-12,289268.0,19620.0
2010-07-13,269627.0,14223.0
2010-07-14,209930.0,10544.0
2010-07-15,79047.0,4004.0
2010-07-16,360667.0,20799.0
2010-07-19,379966.0,23283.0
