,VOLUME,OI
2015-04-17,542448.0,37853.0
2015-04-20,534426.0,37975.0
2015-04-21,478622.0,37771.0
2015-04-22,479352.0,42623.0
2015-04-23,493858.0,39573.0
2015-04-24,448594.0,36034.0
2015-04-27,518344.0,45698.0
2015-04-28,659384.0,36374.0
2015-04-29,485134.0,39968.0
2015-04-30,404816.0,41181.0
2015-05-04,378122.0,40335.0
2015-05-05,435348.0,38274.0
2015-05-06,523866.0,36206.0
2015-05-07,469238.0,40498.0
2015-05-08,430966.0,37887.0
2015-05-11,402930.0,30050.0
2015-05-12,379458.0,23176.0
2015-05-13,331972.0,17535.0
2015-05-14,212356.0,10750.0
2015-05-15,405724.0,29113.0
2015-05-18,355304.0,30409.0
2015-05-19,591072.0,32724.0
2015-05-20,576894.0,41966.0
2015-05-21,518224.0,44675.0
2015-05-22,646994.0,49710.0
2015-05-25,588784.0,58985.0
2015-05-26,692218.0,60316.0
2015-05-27,685202.0,58323.0
2015-05-28,770874.0,47345.0
2015-05-29,743232.0,37538.0
2015-06-01,688714.0,41622.0
2015-06-02,712554.0,38496.0
2015-06-03,822850.0,34342.0
2015-06-04,1071724.0,43924.0
2015-06-05,946584.0,46520.0
2015-06-08,948038.0,73160.0
2015-06-09,1117328.0,69199.0
2015-06-10,845546.0,64664.0
2015-06-11,789360.0,64572.0
2015-06-12,720852.0,67900.0
2015-06-15,796544.0,61775.0
2015-06-16,777140.0,54689.0
2015-06-17,725362.0,41817.0
2015-06-18,486080.0,19516.0
2015-06-19,167598.0,0.0
2015-06-23,1070530.0,74829.0
2015-06-24,828330.0,67504.0
2015-06-25,947694.0,65506.0
2015-06-26,1322788.0,70148.0
2015-06-29,1722416.0,64914.0
2015-06-30,1298454.0,63114.0
2015-07-01,1106006.0,56575.0
2015-07-02,1265130.0,55597.0
2015-07-03,1164454.0,49954.0
2015-07-06,938042.0,46882.0
2015-07-07,807630.0,38656.0
2015-07-08,336594.0,31316.0
2015-07-09,547412.0,23490.0
2015-07-10,1173136.0,21468.0
2015-07-13,763928.0,17872.0
2015-07-14,678366.0,14713.0
2015-07-15,689000.0,12407.0
2015-07-16,446908.0,4320.0
2015-07-17,72740.0,0.0
2015-07-20,,0.0
2015-07-21,626696.0,14811.0
2015-07-22,465560.0,16163.0
2015-07-23,565914.0,14793.0
2015-07-24,526342.0,15848.0
2015-07-27,512258.0,19625.0
2015-07-28,692894.0,16916.0
2015-07-29,544822.0,15566.0
