,VOLUME,OI
2013-11-11,148860.0,22066.0
2013-11-12,93396.0,19406.0
2013-11-13,62148.0,18300.0
2013-11-14,37318.0,16116.0
2013-11-15,133512.0,21549.0
2013-11-18,108186.0,25088.0
2013-11-19,62266.0,21500.0
2013-11-20,59612.0,21762.0
2013-11-21,40740.0,17962.0
2013-11-22,40808.0,17695.0
2013-11-25,275042.0,35378.0
2013-11-26,150308.0,31982.0
2013-11-27,119328.0,29518.0
2013-11-28,188778.0,34113.0
2013-11-29,90070.0,33269.0
2013-12-02,58520.0,33012.0
2013-12-03,162642.0,34403.0
2013-12-04,66138.0,34214.0
2013-12-05,86416.0,33128.0
2013-12-06,93086.0,30388.0
2013-12-09,43026.0,30479.0
2013-12-10,141624.0,32134.0
2013-12-11,68642.0,31810.0
2013-12-12,56068.0,31062.0
2013-12-13,78890.0,29800.0
2013-12-16,53850.0,30266.0
2013-12-17,56850.0,29431.0
2013-12-18,40438.0,29797.0
2013-12-19,221438.0,33299.0
2013-12-20,82202.0,28362.0
2013-12-23,69360.0,28645.0
2013-12-24,57416.0,28072.0
2013-12-25,62000.0,28106.0
2013-12-26,67728.0,27933.0
2013-12-27,37100.0,27277.0
2013-12-30,47234.0,26030.0
2013-12-31,60322.0,27492.0
2014-01-02,31536.0,26713.0
2014-01-03,102594.0,27733.0
2014-01-06,76746.0,28442.0
2014-01-07,102798.0,26042.0
2014-01-08,46162.0,25559.0
2014-01-09,65388.0,27117.0
2014-01-10,38390.0,26742.0
2014-01-13,41632.0,26506.0
2014-01-14,40826.0,25082.0
2014-01-15,52378.0,27261.0
2014-01-16,89098.0,32355.0
2014-01-17,56748.0,31210.0
2014-01-20,49338.0,29876.0
2014-01-21,52218.0,30268.0
2014-01-22,113068.0,31677.0
2014-01-23,39234.0,31327.0
2014-01-24,44774.0,32566.0
2014-01-27,69218.0,31638.0
2014-01-28,92514.0,29750.0
2014-01-29,37580.0,28518.0
2014-01-30,23578.0,27699.0
2014-02-07,44146.0,31417.0
2014-02-10,65214.0,33659.0
2014-02-11,78840.0,37716.0
2014-02-12,36230.0,37309.0
2014-02-13,32468.0,37252.0
2014-02-14,176542.0,41863.0
2014-02-17,97176.0,38622.0
2014-02-18,83344.0,38661.0
2014-02-19,58342.0,38259.0
2014-02-20,74460.0,37171.0
2014-02-21,50938.0,37992.0
2014-02-24,76830.0,37876.0
2014-02-25,82562.0,37561.0
2014-02-26,77210.0,35675.0
2014-02-27,54504.0,35685.0
2014-02-28,46804.0,34288.0
2014-03-03,92236.0,31578.0
2014-03-04,82222.0,31073.0
2014-03-05,67206.0,30271.0
2014-03-06,55252.0,29356.0
2014-03-07,146124.0,32196.0
2014-03-10,254154.0,31969.0
2014-03-11,190926.0,29856.0
2014-03-12,89754.0,29512.0
2014-03-13,221984.0,36670.0
2014-03-14,225102.0,34242.0
2014-03-17,200160.0,25318.0
2014-03-18,200338.0,21751.0
2014-03-19,84944.0,39794.0
2014-03-20,79900.0,39843.0
2014-03-21,149906.0,43695.0
2014-03-24,96830.0,47370.0
2014-03-25,89562.0,48257.0
2014-03-26,150014.0,56841.0
2014-03-27,105638.0,57647.0
2014-03-28,139936.0,55685.0
2014-03-31,102864.0,53736.0
2014-04-01,135354.0,53111.0
2014-04-02,94320.0,51607.0
2014-04-03,115898.0,57520.0
2014-04-04,78948.0,57455.0
2014-04-08,105614.0,63448.0
2014-04-09,97620.0,60745.0
2014-04-10,155446.0,70200.0
2014-04-11,109218.0,69143.0
2014-04-14,116424.0,65483.0
2014-04-15,66722.0,67810.0
2014-04-16,95146.0,69614.0
2014-04-17,241768.0,81879.0
2014-04-18,174370.0,84150.0
2014-04-21,307270.0,99221.0
2014-04-22,298260.0,99106.0
2014-04-23,261398.0,102944.0
2014-04-24,345436.0,98042.0
2014-04-25,179540.0,95867.0
2014-04-28,258060.0,104438.0
2014-04-29,174552.0,103445.0
2014-04-30,260024.0,114165.0
2014-05-05,250294.0,120441.0
2014-05-06,221186.0,125480.0
2014-05-07,327946.0,133611.0
2014-05-08,573600.0,123225.0
