,VOLUME,OI
2010-01-04,190792.0,45025.0
2010-01-05,158990.0,42115.0
2010-01-06,257520.0,42433.0
2010-01-07,326148.0,33126.0
2010-01-08,251674.0,28783.0
2010-01-11,194252.0,31814.0
2010-01-12,179180.0,29393.0
2010-01-13,158518.0,26403.0
2010-01-14,334574.0,32230.0
2010-01-15,212622.0,28745.0
2010-01-18,378828.0,36945.0
2010-01-19,268256.0,37199.0
2010-01-20,353290.0,36736.0
2010-01-21,366340.0,40790.0
2010-01-22,429676.0,32596.0
2010-01-25,319172.0,33845.0
2010-01-26,279996.0,32889.0
2010-01-27,392762.0,39805.0
2010-01-28,346678.0,38811.0
2010-01-29,233502.0,35265.0
2010-02-01,279494.0,35831.0
2010-02-02,285564.0,37766.0
2010-02-03,350400.0,36738.0
2010-02-04,324340.0,37277.0
2010-02-05,262388.0,32762.0
2010-02-08,238000.0,32286.0
2010-02-09,215600.0,32360.0
2010-02-10,162576.0,26657.0
2010-02-11,103400.0,24635.0
2010-02-12,56974.0,22631.0
2010-02-22,71674.0,20217.0
2010-02-23,84224.0,24002.0
2010-02-24,84108.0,24717.0
2010-02-25,155272.0,27650.0
2010-02-26,100704.0,26677.0
2010-03-01,104138.0,27660.0
2010-03-02,165540.0,31395.0
2010-03-03,141562.0,35733.0
2010-03-04,221452.0,37968.0
2010-03-05,180914.0,40893.0
2010-03-08,323210.0,51177.0
2010-03-09,204934.0,53882.0
2010-03-10,262132.0,55154.0
2010-03-11,304614.0,59195.0
2010-03-12,300704.0,58102.0
2010-03-15,314430.0,64380.0
2010-03-16,359740.0,64549.0
2010-03-17,380610.0,58869.0
2010-03-18,368450.0,58942.0
2010-03-19,306790.0,53848.0
2010-03-22,317170.0,47415.0
2010-03-23,302550.0,44230.0
2010-03-24,310814.0,38778.0
2010-03-25,152376.0,31192.0
2010-03-26,62924.0,24361.0
2010-03-29,33796.0,20401.0
2010-03-30,249828.0,42189.0
2010-03-31,308014.0,47871.0
2010-04-01,192020.0,44253.0
2010-04-02,207342.0,44898.0
