,VOLUME,OI
2012-12-31,237194.0,19645.0
2013-01-04,193882.0,19229.0
2013-01-07,406060.0,32269.0
2013-01-08,899582.0,38813.0
2013-01-09,696804.0,47050.0
2013-01-10,591086.0,48330.0
2013-01-11,1621470.0,82807.0
2013-01-14,1299760.0,75426.0
2013-01-15,1674334.0,89096.0
2013-01-16,1070868.0,96140.0
2013-01-17,815406.0,81341.0
2013-01-18,947392.0,73918.0
2013-01-21,568840.0,68709.0
2013-01-22,543526.0,73367.0
2013-01-23,411626.0,66345.0
2013-01-24,771526.0,76022.0
2013-01-25,595570.0,67805.0
2013-01-28,554936.0,65179.0
2013-01-29,375244.0,62766.0
2013-01-30,301474.0,59540.0
2013-01-31,174358.0,56105.0
2013-02-01,639604.0,59018.0
2013-02-04,496364.0,53798.0
2013-02-05,986224.0,59120.0
2013-02-06,308816.0,53869.0
2013-02-07,172970.0,43011.0
2013-02-08,137230.0,36888.0
2013-02-18,70688.0,35247.0
2013-02-19,972538.0,121953.0
2013-02-20,651684.0,130761.0
2013-02-21,1543014.0,191218.0
2013-02-22,2491154.0,200624.0
2013-02-25,1683260.0,129913.0
2013-02-26,1923248.0,120414.0
2013-02-27,1649002.0,127770.0
2013-02-28,1532204.0,151008.0
2013-03-01,1848742.0,136701.0
2013-03-04,1036422.0,131513.0
2013-03-05,906504.0,143248.0
2013-03-06,1362960.0,143093.0
2013-03-07,617866.0,137699.0
2013-03-08,555146.0,140714.0
2013-03-11,1262590.0,179784.0
2013-03-12,825834.0,168365.0
2013-03-13,1206208.0,157273.0
2013-03-14,1392024.0,159409.0
2013-03-15,1384360.0,163081.0
2013-03-18,893778.0,153996.0
2013-03-19,763568.0,160552.0
2013-03-20,544530.0,154557.0
2013-03-21,583242.0,136069.0
2013-03-22,530536.0,142498.0
2013-03-25,562204.0,150270.0
2013-03-26,348862.0,133931.0
2013-03-27,237050.0,132050.0
2013-03-28,469982.0,134428.0
2013-03-29,390982.0,115720.0
2013-04-01,365128.0,121026.0
2013-04-02,417420.0,119550.0
2013-04-03,440064.0,109271.0
2013-04-08,478260.0,111951.0
2013-04-09,342182.0,119401.0
2013-04-10,409600.0,114276.0
2013-04-11,294566.0,113494.0
2013-04-12,768530.0,147169.0
2013-04-15,1442540.0,195141.0
2013-04-16,1568516.0,202604.0
2013-04-17,1104508.0,180306.0
2013-04-18,1036706.0,169405.0
2013-04-19,710028.0,160563.0
2013-04-22,835978.0,168108.0
2013-04-23,637962.0,156461.0
2013-04-24,944866.0,149369.0
2013-04-25,550706.0,130277.0
2013-04-26,394992.0,120610.0
2013-05-02,323828.0,126514.0
2013-05-03,922030.0,150753.0
2013-05-06,560294.0,132804.0
2013-05-07,387610.0,124737.0
2013-05-08,353412.0,122158.0
2013-05-09,253098.0,122038.0
2013-05-10,275738.0,121671.0
2013-05-13,457152.0,121247.0
2013-05-14,255474.0,112526.0
2013-05-15,734810.0,122733.0
2013-05-16,465412.0,116084.0
2013-05-17,284280.0,106124.0
2013-05-20,165486.0,103008.0
2013-05-21,150392.0,100398.0
2013-05-22,109214.0,102331.0
2013-05-23,137214.0,103527.0
2013-05-24,142710.0,96206.0
2013-05-27,103906.0,95955.0
2013-05-28,58246.0,99787.0
2013-05-29,354888.0,95020.0
2013-05-30,195686.0,95663.0
2013-05-31,220796.0,104089.0
2013-06-03,334240.0,106240.0
2013-06-04,298972.0,106426.0
2013-06-05,823550.0,143728.0
2013-06-06,349718.0,140302.0
2013-06-07,347012.0,114364.0
2013-06-13,218032.0,109563.0
2013-06-14,329560.0,125219.0
2013-06-17,674092.0,164616.0
2013-06-18,675696.0,179279.0
2013-06-19,504842.0,177014.0
2013-06-20,463138.0,184693.0
2013-06-21,658966.0,186697.0
2013-06-24,521148.0,191649.0
2013-06-25,692078.0,187099.0
2013-06-26,701566.0,204594.0
2013-06-27,609248.0,211010.0
2013-06-28,493996.0,210039.0
2013-07-01,433806.0,218453.0
2013-07-02,701860.0,250794.0
2013-07-03,880818.0,272805.0
2013-07-04,633774.0,275225.0
2013-07-05,539822.0,263456.0
2013-07-08,495380.0,265793.0
2013-07-09,851624.0,253512.0
2013-07-10,662694.0,234395.0
2013-07-11,763076.0,245683.0
2013-07-12,858772.0,256058.0
2013-07-15,514986.0,271942.0
2013-07-16,680744.0,296073.0
2013-07-17,670470.0,302156.0
2013-07-18,490838.0,322738.0
2013-07-19,1698634.0,407362.0
2013-07-22,1038912.0,386293.0
2013-07-23,1570038.0,407107.0
2013-07-24,1196206.0,436413.0
2013-07-25,785910.0,437321.0
2013-07-26,1604576.0,403794.0
2013-07-29,777502.0,407658.0
2013-07-30,722316.0,414509.0
2013-07-31,796918.0,412222.0
2013-08-01,620626.0,411906.0
2013-08-02,671568.0,410595.0
2013-08-05,2023300.0,497787.0
2013-08-06,1200742.0,513629.0
2013-08-07,1235538.0,515606.0
2013-08-08,1091438.0,481443.0
2013-08-09,906784.0,493315.0
2013-08-12,812798.0,494798.0
2013-08-13,1148674.0,464644.0
2013-08-14,1556108.0,499734.0
2013-08-15,2065448.0,496704.0
2013-08-16,1716010.0,488905.0
2013-08-19,1298504.0,490475.0
2013-08-20,1679058.0,471825.0
2013-08-21,1417200.0,493641.0
2013-08-22,1819998.0,520202.0
2013-08-23,1265250.0,505391.0
2013-08-26,696194.0,469017.0
2013-08-27,1407532.0,411928.0
2013-08-28,1295226.0,414383.0
2013-08-29,1912436.0,386824.0
2013-08-30,1536850.0,408679.0
2013-09-02,1132060.0,400165.0
2013-09-03,2029154.0,403810.0
2013-09-04,1618944.0,429716.0
2013-09-05,1597560.0,427477.0
2013-09-06,1094544.0,412920.0
2013-09-09,1481744.0,465568.0
2013-09-10,1576638.0,463683.0
2013-09-11,1487444.0,468179.0
2013-09-12,1424494.0,470216.0
2013-09-13,1456184.0,459851.0
2013-09-16,1047532.0,447704.0
2013-09-17,1076168.0,437208.0
2013-09-18,767598.0,411888.0
2013-09-23,1449098.0,429367.0
2013-09-24,1979580.0,488511.0
2013-09-25,2661518.0,502751.0
2013-09-26,1134892.0,472398.0
2013-09-27,1892182.0,465019.0
2013-09-30,1329634.0,428762.0
2013-10-08,1196240.0,432046.0
2013-10-09,1533578.0,484137.0
2013-10-10,1998192.0,478918.0
2013-10-11,1763974.0,485618.0
2013-10-14,1507618.0,476796.0
2013-10-15,2704874.0,442378.0
2013-10-16,2612010.0,434063.0
2013-10-17,1940842.0,451900.0
2013-10-18,1509052.0,443927.0
2013-10-21,1595758.0,447407.0
2013-10-22,1320364.0,460864.0
2013-10-23,1459108.0,443472.0
2013-10-24,1427946.0,421264.0
2013-10-25,1859910.0,459987.0
2013-10-28,1397190.0,439371.0
2013-10-29,1317284.0,403395.0
2013-10-30,1103006.0,408000.0
2013-10-31,972750.0,408883.0
2013-11-01,567952.0,385045.0
2013-11-04,1515212.0,431466.0
2013-11-05,1309242.0,407786.0
2013-11-06,1395308.0,453186.0
2013-11-07,1808948.0,363692.0
2013-11-08,1011462.0,304138.0
2013-11-11,588644.0,267965.0
2013-11-12,366916.0,242890.0
2013-11-13,1066036.0,260081.0
2013-11-14,1112692.0,306872.0
2013-11-15,1408668.0,295974.0
2013-11-18,1221376.0,345319.0
2013-11-19,1097130.0,321663.0
2013-11-20,1318144.0,341178.0
2013-11-21,1512618.0,337246.0
2013-11-22,1486166.0,307583.0
2013-11-25,910754.0,279664.0
2013-11-26,895482.0,291825.0
2013-11-27,1302954.0,324873.0
2013-11-28,808328.0,315385.0
2013-11-29,937718.0,316157.0
2013-12-02,1080568.0,339557.0
2013-12-03,842580.0,342230.0
2013-12-04,1264838.0,375016.0
2013-12-05,1201458.0,395387.0
2013-12-06,1859564.0,399877.0
2013-12-09,2160790.0,396301.0
2013-12-10,955006.0,376719.0
2013-12-11,1144664.0,394679.0
2013-12-12,1016372.0,387068.0
2013-12-13,1000730.0,368188.0
2013-12-16,1827076.0,408063.0
2013-12-17,1933912.0,414290.0
2013-12-18,1547256.0,403216.0
2013-12-19,1772270.0,422584.0
2013-12-20,1078214.0,412869.0
2013-12-23,1255386.0,392917.0
2013-12-24,1564816.0,438610.0
2013-12-25,2193230.0,491609.0
2013-12-26,1993464.0,469513.0
2013-12-27,2539990.0,509565.0
2013-12-30,3580202.0,466310.0
2013-12-31,3351688.0,470532.0
2014-01-02,2447362.0,553186.0
2014-01-03,3208056.0,550116.0
2014-01-06,2462186.0,552031.0
2014-01-07,3355716.0,533934.0
2014-01-08,2211700.0,519434.0
2014-01-09,2487266.0,497070.0
2014-01-10,1807142.0,492502.0
2014-01-13,1832898.0,490735.0
2014-01-14,2568450.0,517297.0
2014-01-15,2015504.0,543421.0
2014-01-16,2097000.0,561225.0
2014-01-17,2587322.0,532074.0
2014-01-20,1601246.0,513878.0
2014-01-21,1666942.0,477693.0
2014-01-22,2378376.0,416352.0
2014-01-23,1180448.0,425533.0
2014-01-24,1328696.0,404932.0
2014-01-27,1287240.0,413523.0
2014-01-28,972024.0,384272.0
2014-01-29,904646.0,345144.0
2014-01-30,202432.0,362760.0
2014-02-07,488472.0,380949.0
2014-02-10,493336.0,418721.0
2014-02-11,401972.0,435727.0
2014-02-12,486844.0,449630.0
2014-02-13,541412.0,465275.0
2014-02-14,514872.0,454667.0
2014-02-17,692168.0,446513.0
2014-02-18,684450.0,437856.0
2014-02-19,553368.0,434367.0
2014-02-20,1129690.0,456831.0
2014-02-21,1002030.0,453080.0
2014-02-24,1106348.0,446139.0
2014-02-25,1315064.0,434945.0
2014-02-26,2340722.0,465559.0
2014-02-27,1357014.0,467178.0
2014-02-28,1328614.0,442576.0
2014-03-03,912306.0,425915.0
2014-03-04,857564.0,429810.0
2014-03-05,1588300.0,507127.0
2014-03-06,1370314.0,498071.0
2014-03-07,2352732.0,554684.0
2014-03-10,2272248.0,502389.0
2014-03-11,1719086.0,520800.0
2014-03-12,1207966.0,509071.0
2014-03-13,1632320.0,510130.0
2014-03-14,1406716.0,499153.0
2014-03-17,1469956.0,499925.0
2014-03-18,1127028.0,481738.0
2014-03-19,1440374.0,456554.0
2014-03-20,1487890.0,424727.0
2014-03-21,1002292.0,418917.0
2014-03-24,1130282.0,435463.0
2014-03-25,1526312.0,433527.0
2014-03-26,998732.0,419206.0
2014-03-27,1320914.0,405937.0
2014-03-28,928704.0,410051.0
2014-03-31,889520.0,401284.0
2014-04-01,2215660.0,366613.0
2014-04-02,1283446.0,362372.0
2014-04-03,1542770.0,378416.0
2014-04-04,1245852.0,379996.0
2014-04-08,1148782.0,377358.0
2014-04-09,2188912.0,369673.0
2014-04-10,1438864.0,381881.0
2014-04-11,1309270.0,392309.0
2014-04-14,1634304.0,402633.0
2014-04-15,1812812.0,422456.0
2014-04-16,1683154.0,386464.0
2014-04-17,1534118.0,401229.0
2014-04-18,1235586.0,403684.0
2014-04-21,1321630.0,415939.0
2014-04-22,1155010.0,435366.0
2014-04-23,1934296.0,447945.0
2014-04-24,2084894.0,450393.0
2014-04-25,1898592.0,422429.0
2014-04-28,2213938.0,407886.0
2014-04-29,1381750.0,417170.0
2014-04-30,1475136.0,405888.0
2014-05-05,1422936.0,423027.0
2014-05-06,1875040.0,484988.0
2014-05-07,1633902.0,505307.0
2014-05-08,2698296.0,584437.0
2014-05-09,2770282.0,529019.0
2014-05-12,1727262.0,498158.0
2014-05-13,1455556.0,537455.0
2014-05-14,2573990.0,570167.0
2014-05-15,2428232.0,569112.0
2014-05-16,2184418.0,574533.0
2014-05-19,2347762.0,582504.0
2014-05-20,2100574.0,547048.0
2014-05-21,2276672.0,548256.0
2014-05-22,2332286.0,506945.0
2014-05-23,1620426.0,495676.0
2014-05-26,1399764.0,517222.0
2014-05-27,4589534.0,462095.0
2014-05-28,2627464.0,448770.0
2014-05-29,1893940.0,458166.0
2014-05-30,2287812.0,441354.0
2014-06-03,1768850.0,470399.0
2014-06-04,1613960.0,467786.0
2014-06-05,2886810.0,415014.0
2014-06-06,2823568.0,385551.0
2014-06-09,3572050.0,514866.0
2014-06-10,3497044.0,491759.0
2014-06-11,2418636.0,463110.0
2014-06-12,3336564.0,521916.0
2014-06-13,3057992.0,493375.0
2014-06-16,2383640.0,520026.0
2014-06-17,4084082.0,504862.0
2014-06-18,3863366.0,526694.0
2014-06-19,3262000.0,515257.0
