,VOLUME,OI
2010-01-04,721522.0,83893.0
2010-01-05,638568.0,82032.0
2010-01-06,526364.0,84489.0
2010-01-07,632922.0,67937.0
2010-01-08,533380.0,64924.0
2010-01-11,449352.0,63643.0
2010-01-12,725894.0,78943.0
2010-01-13,504518.0,64552.0
2010-01-14,628582.0,70652.0
2010-01-15,537972.0,61310.0
2010-01-18,462216.0,70084.0
2010-01-19,439870.0,60686.0
2010-01-20,279766.0,48770.0
2010-01-21,145730.0,39340.0
2010-01-22,577192.0,46185.0
2010-01-25,417478.0,50142.0
2010-01-26,443368.0,50753.0
2010-01-27,630728.0,61585.0
2010-01-28,720894.0,67121.0
2010-01-29,565250.0,63791.0
2010-02-01,567978.0,64837.0
2010-02-02,588778.0,64653.0
2010-02-03,512120.0,66960.0
2010-02-04,480678.0,69708.0
2010-02-05,408058.0,69838.0
2010-02-08,352086.0,68882.0
2010-02-09,499190.0,68353.0
2010-02-10,319890.0,52965.0
2010-02-11,160260.0,46907.0
2010-02-12,254126.0,47518.0
2010-02-22,175382.0,53385.0
2010-02-23,292524.0,70940.0
2010-02-24,258554.0,80952.0
2010-02-25,352270.0,78297.0
2010-02-26,258660.0,81219.0
2010-03-01,289348.0,83526.0
2010-03-02,344546.0,82685.0
2010-03-03,388762.0,89808.0
2010-03-04,361524.0,88124.0
2010-03-05,273594.0,89994.0
2010-03-08,331914.0,90750.0
2010-03-09,248180.0,90460.0
2010-03-10,247582.0,88178.0
2010-03-11,266768.0,83139.0
2010-03-12,231524.0,79911.0
2010-03-15,343968.0,86328.0
2010-03-16,379676.0,80994.0
2010-03-17,273416.0,77326.0
2010-03-18,308696.0,77265.0
2010-03-19,300838.0,73427.0
2010-03-22,358186.0,74450.0
2010-03-23,236674.0,68449.0
2010-03-24,200828.0,64551.0
2010-03-25,149214.0,57710.0
2010-03-26,120246.0,51080.0
2010-03-29,84238.0,49312.0
2010-03-30,266782.0,69831.0
2010-03-31,294212.0,76427.0
2010-04-01,248018.0,86947.0
2010-04-02,235924.0,93269.0
2010-04-06,269052.0,107547.0
2010-04-07,182050.0,106131.0
2010-04-08,206056.0,104246.0
2010-04-09,247024.0,105254.0
2010-04-12,228736.0,106004.0
2010-04-13,261494.0,103233.0
2010-04-14,211030.0,101352.0
2010-04-15,390716.0,108407.0
2010-04-16,246024.0,108016.0
2010-04-19,315996.0,104511.0
2010-04-20,282056.0,99573.0
2010-04-21,211842.0,97791.0
2010-04-22,213202.0,100310.0
2010-04-23,192722.0,103116.0
2010-04-26,169568.0,98627.0
2010-04-27,210812.0,100245.0
2010-04-28,233070.0,98838.0
2010-04-29,183224.0,98122.0
2010-04-30,202670.0,94877.0
2010-05-04,169240.0,100768.0
2010-05-05,170914.0,97507.0
2010-05-06,182640.0,99324.0
2010-05-07,278640.0,101875.0
2010-05-10,298066.0,107936.0
2010-05-11,329960.0,110800.0
2010-05-12,346182.0,106455.0
2010-05-13,353628.0,110876.0
2010-05-14,651774.0,125168.0
2010-05-17,373370.0,105441.0
2010-05-18,419872.0,90226.0
2010-05-19,448314.0,90728.0
2010-05-20,353282.0,94010.0
2010-05-21,543786.0,99806.0
2010-05-24,476700.0,107294.0
2010-05-25,870386.0,142776.0
2010-05-26,648680.0,134175.0
2010-05-27,648620.0,134808.0
2010-05-28,551726.0,119044.0
2010-05-31,444132.0,115890.0
2010-06-01,426972.0,116641.0
2010-06-02,541422.0,113770.0
2010-06-03,412012.0,110047.0
2010-06-04,518508.0,113316.0
2010-06-07,245578.0,110932.0
2010-06-08,355124.0,102341.0
2010-06-09,329692.0,100174.0
2010-06-10,354150.0,96334.0
2010-06-11,246302.0,91399.0
2010-06-17,232636.0,95852.0
2010-06-18,289896.0,93354.0
2010-06-21,391928.0,99354.0
2010-06-22,219384.0,92816.0
2010-06-23,332492.0,89054.0
2010-06-24,428098.0,95687.0
2010-06-25,286172.0,89300.0
2010-06-28,200458.0,90580.0
2010-06-29,272080.0,88025.0
2010-06-30,183740.0,82027.0
2010-07-01,311042.0,86272.0
2010-07-02,360500.0,81906.0
2010-07-05,227656.0,83462.0
2010-07-06,376032.0,86398.0
2010-07-07,260222.0,87804.0
2010-07-08,208002.0,86185.0
2010-07-09,222604.0,86745.0
2010-07-12,243480.0,88782.0
2010-07-13,317132.0,95243.0
2010-07-14,265836.0,87305.0
2010-07-15,775140.0,126854.0
2010-07-16,655654.0,113959.0
2010-07-19,497672.0,98596.0
2010-07-20,255276.0,91117.0
2010-07-21,398714.0,90828.0
2010-07-22,386014.0,82154.0
2010-07-23,323626.0,76563.0
2010-07-26,221384.0,71645.0
2010-07-27,142060.0,64314.0
2010-07-28,109198.0,58557.0
2010-07-29,98750.0,56238.0
2010-07-30,519670.0,84605.0
2010-08-02,420936.0,101617.0
2010-08-03,416838.0,101854.0
2010-08-04,582498.0,102691.0
2010-08-05,617002.0,102818.0
2010-08-06,485686.0,100938.0
2010-08-09,549978.0,115644.0
2010-08-10,567592.0,112636.0
2010-08-11,557828.0,113543.0
2010-08-12,498758.0,110759.0
2010-08-13,419652.0,118209.0
2010-08-16,1367374.0,177565.0
2010-08-17,999116.0,176082.0
2010-08-18,1242656.0,169139.0
2010-08-19,1228380.0,189483.0
2010-08-20,1112270.0,148430.0
2010-08-23,792658.0,147069.0
2010-08-24,705346.0,138495.0
2010-08-25,855384.0,151395.0
2010-08-26,743536.0,150715.0
2010-08-27,576090.0,143313.0
2010-08-30,547844.0,143467.0
2010-08-31,469036.0,135261.0
2010-09-01,718818.0,128399.0
2010-09-02,654356.0,136807.0
2010-09-03,553294.0,131659.0
2010-09-06,543732.0,145182.0
2010-09-07,545906.0,147882.0
2010-09-08,840680.0,157892.0
2010-09-09,866622.0,131573.0
2010-09-10,509116.0,125828.0
2010-09-13,483576.0,129271.0
2010-09-14,451148.0,123870.0
2010-09-15,982654.0,141571.0
2010-09-16,583318.0,129803.0
2010-09-17,438552.0,123501.0
2010-09-20,659820.0,141510.0
2010-09-21,366482.0,113760.0
2010-09-27,698918.0,141933.0
2010-09-28,433502.0,137640.0
2010-09-29,444688.0,117504.0
2010-09-30,306336.0,110752.0
2010-10-08,278070.0,112087.0
2010-10-11,632852.0,135683.0
2010-10-12,702858.0,146660.0
2010-10-13,619790.0,143165.0
2010-10-14,574326.0,137743.0
2010-10-15,582850.0,134606.0
2010-10-18,366416.0,137043.0
2010-10-19,464496.0,131526.0
2010-10-20,342596.0,121276.0
2010-10-21,601646.0,125204.0
2010-10-22,367518.0,119364.0
2010-10-25,410248.0,115984.0
2010-10-26,347480.0,100277.0
2010-10-27,329804.0,92800.0
2010-10-28,137950.0,87128.0
2010-10-29,156070.0,77068.0
2010-11-01,135992.0,73596.0
2010-11-02,60296.0,70187.0
2010-11-03,491024.0,97201.0
2010-11-04,622734.0,130065.0
2010-11-05,39788.0,124688.0
2010-11-08,220044.0,91006.0
2010-11-09,72320.0,54846.0
2010-11-10,18944.0,47942.0
2010-11-11,1794556.0,90894.0
2010-11-12,23610.0,90059.0
2010-11-15,786688.0,73692.0
2010-11-16,1523184.0,105851.0
2010-11-17,1671856.0,107607.0
2010-11-18,1258148.0,80331.0
2010-11-19,905134.0,79060.0
2010-11-22,996858.0,94605.0
2010-11-23,1318416.0,104154.0
2010-11-24,884096.0,96242.0
2010-11-25,571256.0,93622.0
2010-11-26,704106.0,86883.0
2010-11-29,647398.0,83645.0
2010-11-30,773372.0,82548.0
2010-12-01,491002.0,88305.0
2010-12-02,577158.0,91032.0
2010-12-03,622816.0,87447.0
2010-12-06,371824.0,85408.0
2010-12-07,361250.0,86358.0
2010-12-08,614230.0,82828.0
2010-12-09,581086.0,84741.0
2010-12-10,316932.0,85461.0
2010-12-13,783910.0,115307.0
2010-12-14,765972.0,115284.0
2010-12-15,547232.0,110789.0
2010-12-16,402552.0,108151.0
2010-12-17,381670.0,106595.0
2010-12-20,615762.0,100858.0
2010-12-21,434086.0,110607.0
2010-12-22,502552.0,101790.0
2010-12-23,359060.0,107257.0
2010-12-24,961956.0,135668.0
2010-12-27,893756.0,145673.0
2010-12-28,521638.0,125332.0
2010-12-29,544030.0,111110.0
2010-12-30,470264.0,113653.0
2010-12-31,387688.0,108261.0
2011-01-04,446228.0,112583.0
2011-01-05,318950.0,108778.0
2011-01-06,300244.0,113305.0
2011-01-07,362150.0,103730.0
2011-01-10,322760.0,103146.0
2011-01-11,366574.0,104847.0
2011-01-12,452140.0,110007.0
2011-01-13,630818.0,121515.0
2011-01-14,575578.0,119722.0
2011-01-17,360382.0,112783.0
2011-01-18,632910.0,132552.0
2011-01-19,403406.0,123021.0
2011-01-20,470348.0,109291.0
2011-01-21,541318.0,118994.0
2011-01-24,265632.0,124803.0
2011-01-25,935468.0,108011.0
2011-01-26,1379794.0,143858.0
2011-01-27,986728.0,125400.0
2011-01-28,693004.0,112716.0
2011-01-31,536310.0,104808.0
2011-02-01,410866.0,105521.0
2011-02-09,314632.0,110935.0
2011-02-10,416174.0,118506.0
2011-02-11,523534.0,114445.0
2011-02-14,385314.0,108813.0
2011-02-15,1000012.0,140468.0
2011-02-16,1098888.0,141024.0
2011-02-17,678724.0,130978.0
2011-02-18,1122292.0,131089.0
2011-02-21,654828.0,120672.0
2011-02-22,942664.0,117703.0
2011-02-23,1129118.0,119260.0
2011-02-24,976720.0,113623.0
2011-02-25,1001134.0,101644.0
2011-02-28,825136.0,105742.0
2011-03-01,762354.0,102453.0
2011-03-02,710012.0,101095.0
2011-03-03,903744.0,95799.0
2011-03-04,888952.0,94847.0
2011-03-07,714492.0,96184.0
2011-03-08,936084.0,104504.0
2011-03-09,706340.0,106622.0
2011-03-10,622054.0,105590.0
2011-03-11,565978.0,101122.0
2011-03-14,1206664.0,119112.0
2011-03-15,1190946.0,125946.0
2011-03-16,1205142.0,115259.0
2011-03-17,794152.0,107003.0
2011-03-18,457946.0,90534.0
2011-03-21,473070.0,76223.0
2011-03-22,228334.0,71093.0
2011-03-23,143820.0,66340.0
2011-03-24,118504.0,63229.0
2011-03-25,705342.0,77655.0
2011-03-28,707844.0,73376.0
2011-03-29,617900.0,77009.0
2011-03-30,576584.0,83015.0
2011-03-31,784610.0,88158.0
2011-04-01,1130766.0,112656.0
2011-04-06,1018566.0,118334.0
2011-04-07,1546066.0,124039.0
2011-04-08,1291386.0,122640.0
2011-04-11,936372.0,113780.0
2011-04-12,1136746.0,107744.0
2011-04-13,928622.0,104698.0
2011-04-14,1212018.0,114838.0
2011-04-15,1090334.0,111505.0
2011-04-18,889244.0,118282.0
2011-04-19,743768.0,112878.0
2011-04-20,589978.0,103117.0
2011-04-21,761978.0,104669.0
2011-04-22,573412.0,106928.0
2011-04-25,546568.0,108483.0
2011-04-26,531990.0,103878.0
2011-04-27,530048.0,106740.0
2011-04-28,628998.0,93775.0
2011-04-29,633720.0,91755.0
2011-05-03,515552.0,107859.0
2011-05-04,588308.0,99751.0
2011-05-05,581602.0,103721.0
2011-05-06,583410.0,96420.0
2011-05-09,454940.0,96834.0
2011-05-10,1047882.0,105577.0
2011-05-11,819442.0,110671.0
2011-05-12,779938.0,103343.0
2011-05-13,672392.0,97811.0
2011-05-16,652384.0,100969.0
2011-05-17,1104044.0,116692.0
2011-05-18,614284.0,113101.0
2011-05-19,485266.0,110317.0
2011-05-20,536320.0,124255.0
2011-05-23,607868.0,124843.0
2011-05-24,844830.0,132650.0
2011-05-25,681312.0,128327.0
2011-05-26,631992.0,132255.0
2011-05-27,412300.0,127492.0
2011-05-30,429184.0,123919.0
2011-05-31,577858.0,132409.0
2011-06-01,541438.0,129610.0
2011-06-02,559892.0,116824.0
2011-06-03,692282.0,135395.0
2011-06-07,659396.0,133586.0
2011-06-08,676494.0,123569.0
2011-06-09,633076.0,140242.0
2011-06-10,775436.0,141838.0
2011-06-13,532088.0,144614.0
2011-06-14,533112.0,144935.0
2011-06-15,497688.0,145992.0
2011-06-16,467034.0,126742.0
2011-06-17,360312.0,123711.0
2011-06-20,360464.0,129467.0
2011-06-21,436216.0,126855.0
2011-06-22,445678.0,145147.0
2011-06-23,444658.0,143947.0
2011-06-24,417098.0,133672.0
2011-06-27,440090.0,134846.0
2011-06-28,393024.0,126253.0
2011-06-29,390380.0,117135.0
2011-06-30,210834.0,107281.0
2011-07-01,174446.0,102141.0
2011-07-04,231906.0,90732.0
2011-07-05,127756.0,84454.0
2011-07-06,673486.0,127021.0
2011-07-07,547548.0,125962.0
2011-07-08,555656.0,134218.0
2011-07-11,556138.0,135366.0
2011-07-12,675542.0,127422.0
2011-07-13,1315072.0,160136.0
2011-07-14,1318784.0,168765.0
2011-07-15,1335744.0,178643.0
2011-07-18,1262566.0,152858.0
2011-07-19,932404.0,160644.0
2011-07-20,1390576.0,160544.0
2011-07-21,1001078.0,182712.0
2011-07-22,747954.0,164397.0
2011-07-25,769904.0,162704.0
2011-07-26,950626.0,168994.0
2011-07-27,655174.0,166876.0
2011-07-28,667816.0,159466.0
2011-07-29,604906.0,143079.0
2011-08-01,939246.0,164053.0
2011-08-02,878128.0,180682.0
2011-08-03,844062.0,161797.0
2011-08-04,884386.0,161215.0
2011-08-05,1201970.0,132071.0
2011-08-08,999182.0,115621.0
2011-08-09,1193654.0,126006.0
2011-08-10,714282.0,115247.0
2011-08-11,1279220.0,131756.0
2011-08-12,1589776.0,154988.0
2011-08-15,1361454.0,144184.0
2011-08-16,1282056.0,133560.0
2011-08-17,2946204.0,258842.0
2011-08-18,2486414.0,207004.0
2011-08-19,2183872.0,217460.0
2011-08-22,2093186.0,205340.0
2011-08-23,2200556.0,252658.0
2011-08-24,1521790.0,218993.0
2011-08-25,1612022.0,203016.0
2011-08-26,1510370.0,195455.0
2011-08-29,1383474.0,204122.0
2011-08-30,1398628.0,199447.0
2011-08-31,1260394.0,214882.0
2011-09-01,1273874.0,215292.0
2011-09-02,1237074.0,201090.0
2011-09-05,1219062.0,184136.0
2011-09-06,1547864.0,186175.0
2011-09-07,1384100.0,221531.0
2011-09-08,1055676.0,196497.0
2011-09-09,955568.0,190773.0
2011-09-13,1289364.0,215589.0
2011-09-14,1473336.0,196840.0
2011-09-15,1207002.0,184316.0
2011-09-16,1732136.0,206276.0
2011-09-19,1096440.0,203339.0
2011-09-20,970128.0,188082.0
2011-09-21,1590728.0,188227.0
2011-09-22,1084472.0,194945.0
2011-09-23,2726940.0,198208.0
2011-09-26,2344282.0,185324.0
2011-09-27,2303716.0,139721.0
2011-09-28,2325146.0,141683.0
2011-09-29,1393378.0,122304.0
2011-09-30,1120974.0,109497.0
2011-10-10,881878.0,116090.0
2011-10-11,1002384.0,137070.0
