,VOLUME,OI
2013-09-09,23662.0,2797.0
2013-09-10,10750.0,2708.0
2013-09-11,17660.0,3293.0
2013-09-12,16758.0,2871.0
2013-09-13,13802.0,3000.0
2013-09-16,7700.0,3189.0
2013-09-17,44550.0,5022.0
2013-09-18,21384.0,4465.0
2013-09-23,14690.0,4527.0
2013-09-24,10126.0,4493.0
2013-09-25,16414.0,4731.0
2013-09-26,10810.0,4752.0
2013-09-27,8906.0,4109.0
2013-09-30,7030.0,4094.0
2013-10-08,4798.0,3955.0
2013-10-09,3738.0,3802.0
2013-10-10,3012.0,3777.0
2013-10-11,3460.0,3691.0
2013-10-14,4986.0,3663.0
2013-10-15,4484.0,3742.0
2013-10-16,6506.0,4026.0
2013-10-17,3232.0,4071.0
2013-10-18,2004.0,4101.0
2013-10-21,2136.0,3920.0
2013-10-22,4042.0,3656.0
2013-10-23,3692.0,3621.0
2013-10-24,4258.0,3818.0
2013-10-25,4418.0,3661.0
2013-10-28,3280.0,3648.0
2013-10-29,5204.0,3829.0
2013-10-30,3746.0,3774.0
2013-10-31,4342.0,3545.0
2013-11-01,3426.0,3433.0
2013-11-04,4050.0,3242.0
2013-11-05,4856.0,2526.0
2013-11-06,3864.0,2836.0
2013-11-07,8278.0,3275.0
2013-11-08,6278.0,2694.0
2013-11-11,7802.0,2717.0
2013-11-12,11136.0,2180.0
2013-11-13,7172.0,2422.0
2013-11-14,7032.0,2586.0
2013-11-15,7266.0,2721.0
2013-11-18,6774.0,2759.0
2013-11-19,7168.0,2946.0
2013-11-20,7838.0,3088.0
2013-11-21,6810.0,2805.0
2013-11-22,5608.0,2378.0
2013-11-25,3716.0,2025.0
2013-11-26,2590.0,1821.0
2013-11-27,4726.0,1520.0
2013-11-28,2536.0,1152.0
2013-11-29,6782.0,2069.0
2013-12-02,4312.0,2186.0
2013-12-03,6618.0,2221.0
2013-12-04,6594.0,2275.0
2013-12-05,7212.0,2521.0
2013-12-06,3702.0,2394.0
2013-12-09,3700.0,2552.0
2013-12-10,6082.0,3000.0
2013-12-11,7700.0,2970.0
2013-12-12,8280.0,2781.0
2013-12-13,6494.0,2682.0
2013-12-16,3776.0,2659.0
2013-12-17,4536.0,2735.0
2013-12-18,5172.0,2827.0
2013-12-19,5982.0,2906.0
2013-12-20,3892.0,2885.0
2013-12-23,7350.0,3006.0
2013-12-24,7102.0,2896.0
2013-12-25,4076.0,2872.0
2013-12-26,3402.0,2832.0
2013-12-27,3762.0,2809.0
2013-12-30,3874.0,2851.0
2013-12-31,5980.0,3318.0
2014-01-02,4700.0,3621.0
2014-01-03,6372.0,3704.0
2014-01-06,4526.0,3653.0
2014-01-07,5466.0,3719.0
2014-01-08,5340.0,3613.0
2014-01-09,5518.0,3645.0
2014-01-10,5450.0,3652.0
2014-01-13,2842.0,3648.0
2014-01-14,2776.0,3659.0
2014-01-15,7228.0,3662.0
2014-01-16,3516.0,3668.0
2014-01-17,3050.0,3662.0
2014-01-20,2974.0,3716.0
2014-01-21,6404.0,3658.0
2014-01-22,4580.0,3710.0
2014-01-23,3708.0,3615.0
2014-01-24,2768.0,3804.0
2014-01-27,5780.0,4094.0
2014-01-28,3810.0,4043.0
2014-01-29,2516.0,4180.0
2014-01-30,1432.0,4088.0
2014-02-07,2252.0,4194.0
2014-02-10,3330.0,4207.0
2014-02-11,4672.0,3880.0
2014-02-12,3432.0,3658.0
2014-02-13,2542.0,3610.0
2014-02-14,2856.0,3427.0
2014-02-17,3054.0,3218.0
2014-02-18,4750.0,2642.0
2014-02-19,4210.0,2332.0
2014-02-20,3246.0,1888.0
2014-02-21,1708.0,1404.0
2014-02-24,2482.0,3042.0
2014-02-25,4108.0,3445.0
2014-02-26,3380.0,3590.0
2014-02-27,5016.0,3872.0
2014-02-28,4062.0,3898.0
2014-03-03,3572.0,4164.0
2014-03-04,4266.0,4214.0
2014-03-05,7196.0,4816.0
2014-03-06,5114.0,4503.0
2014-03-07,2614.0,4519.0
2014-03-10,3968.0,4656.0
2014-03-11,3078.0,4692.0
2014-03-12,3356.0,4713.0
2014-03-13,4284.0,4758.0
2014-03-14,2780.0,4742.0
2014-03-17,2226.0,4737.0
2014-03-18,3532.0,4880.0
2014-03-19,3448.0,4941.0
2014-03-20,3206.0,4961.0
2014-03-21,2138.0,4931.0
2014-03-24,1214.0,4941.0
2014-03-25,2764.0,4907.0
2014-03-26,2126.0,4851.0
2014-03-27,1884.0,4783.0
2014-03-28,1040.0,4721.0
2014-03-31,1142.0,4616.0
2014-04-01,3114.0,4698.0
2014-04-02,4164.0,4811.0
2014-04-03,4732.0,5019.0
2014-04-04,2428.0,4931.0
2014-04-08,2024.0,4943.0
2014-04-09,2098.0,4875.0
2014-04-10,2386.0,4741.0
2014-04-11,2540.0,4505.0
2014-04-14,3074.0,4551.0
2014-04-15,1680.0,4523.0
2014-04-16,2878.0,4302.0
2014-04-17,5980.0,3818.0
2014-04-18,2600.0,3764.0
2014-04-21,1504.0,3815.0
2014-04-22,2386.0,3892.0
2014-04-23,1844.0,3783.0
2014-04-24,986.0,3745.0
2014-04-25,1376.0,3664.0
2014-04-28,1168.0,3415.0
2014-04-29,1564.0,3456.0
2014-04-30,1782.0,3403.0
2014-05-05,1078.0,3359.0
2014-05-06,3016.0,3414.0
2014-05-07,1690.0,3404.0
2014-05-08,1606.0,3294.0
2014-05-09,3738.0,2971.0
2014-05-12,2118.0,2707.0
2014-05-13,1800.0,2521.0
2014-05-14,2186.0,2004.0
2014-05-15,1648.0,1748.0
2014-05-16,1234.0,2529.0
2014-05-19,2738.0,3022.0
2014-05-20,2862.0,3619.0
2014-05-21,2324.0,4135.0
2014-05-22,3330.0,4613.0
2014-05-23,2132.0,4721.0
2014-05-26,1350.0,4865.0
2014-05-27,4840.0,5246.0
2014-05-28,6536.0,6320.0
2014-05-29,6948.0,6353.0
2014-05-30,6132.0,7075.0
2014-06-03,6972.0,7132.0
2014-06-04,9658.0,7886.0
2014-06-05,16946.0,6949.0
