,VOLUME,OI
2010-01-04,147506.0,54732.0
2010-01-05,227562.0,52998.0
2010-01-06,102842.0,51451.0
2010-01-07,121086.0,43289.0
2010-01-08,59946.0,34767.0
2010-01-11,30624.0,32992.0
2010-01-12,18846.0,30821.0
2010-01-13,26374.0,24172.0
2010-01-14,10198.0,22635.0
2010-01-15,6664.0,21094.0
2010-01-18,9310.0,19574.0
2010-01-19,54326.0,25230.0
2010-01-20,58454.0,24284.0
2010-01-21,43328.0,22718.0
2010-01-22,113656.0,24411.0
2010-01-25,48942.0,27241.0
2010-01-26,56266.0,28288.0
2010-01-27,49618.0,28250.0
2010-01-28,58568.0,24961.0
2010-01-29,52396.0,24701.0
2010-02-01,31670.0,23789.0
2010-02-02,34876.0,23109.0
2010-02-03,61714.0,24725.0
2010-02-04,56098.0,22849.0
2010-02-05,39624.0,23020.0
2010-02-08,45848.0,24544.0
2010-02-09,33772.0,24349.0
2010-02-10,34464.0,23173.0
2010-02-11,26682.0,22014.0
2010-02-12,19096.0,21515.0
2010-02-22,36694.0,21514.0
2010-02-23,28258.0,23263.0
2010-02-24,24284.0,23076.0
2010-02-25,28074.0,23277.0
2010-02-26,20262.0,23408.0
2010-03-01,27448.0,24967.0
2010-03-02,33588.0,26351.0
2010-03-03,28846.0,28349.0
2010-03-04,35904.0,27931.0
2010-03-05,26134.0,28672.0
2010-03-08,51846.0,28874.0
2010-03-09,25456.0,28628.0
2010-03-10,37128.0,28960.0
2010-03-11,59106.0,29427.0
2010-03-12,25188.0,28286.0
2010-03-15,45812.0,28873.0
2010-03-16,30708.0,28377.0
2010-03-17,41986.0,26434.0
2010-03-18,26220.0,25567.0
2010-03-19,50060.0,26651.0
2010-03-22,34244.0,23333.0
2010-03-23,26778.0,22703.0
2010-03-24,17916.0,21914.0
2010-03-25,10960.0,20785.0
2010-03-26,16484.0,17517.0
2010-03-29,10972.0,15638.0
2010-03-30,11682.0,13655.0
2010-03-31,9344.0,12081.0
2010-04-01,15112.0,16904.0
2010-04-02,30228.0,18906.0
2010-04-06,46056.0,22806.0
2010-04-07,79974.0,30391.0
2010-04-08,45648.0,30888.0
2010-04-09,71104.0,38258.0
2010-04-12,70412.0,39362.0
2010-04-13,48752.0,39918.0
2010-04-14,63816.0,43625.0
2010-04-15,177738.0,55938.0
2010-04-16,92202.0,53034.0
2010-04-19,81360.0,52778.0
2010-04-20,50828.0,52407.0
2010-04-21,59624.0,50636.0
2010-04-22,50066.0,47173.0
2010-04-23,34030.0,47448.0
2010-04-26,29838.0,47924.0
2010-04-27,62302.0,44020.0
2010-04-28,35632.0,42703.0
2010-04-29,31208.0,43158.0
2010-04-30,17748.0,41650.0
2010-05-04,20728.0,43202.0
2010-05-05,29756.0,43470.0
2010-05-06,20938.0,42465.0
2010-05-07,139966.0,44964.0
2010-05-10,74418.0,42464.0
2010-05-11,69376.0,42161.0
2010-05-12,103552.0,43004.0
2010-05-13,74668.0,40650.0
2010-05-14,64032.0,42903.0
2010-05-17,96652.0,40288.0
2010-05-18,81974.0,33977.0
2010-05-19,68410.0,34315.0
2010-05-20,52546.0,33807.0
2010-05-21,84074.0,32211.0
2010-05-24,67834.0,32828.0
2010-05-25,102062.0,38384.0
2010-05-26,69776.0,37672.0
2010-05-27,55806.0,35391.0
2010-05-28,51394.0,33416.0
2010-05-31,34362.0,34264.0
