,VOLUME,OI
2010-01-04,379208.0,79856.0
2010-01-05,470848.0,84010.0
2010-01-06,415594.0,80772.0
2010-01-07,520498.0,73493.0
2010-01-08,614318.0,70340.0
2010-01-11,373446.0,67869.0
2010-01-12,448548.0,73595.0
2010-01-13,360390.0,67270.0
2010-01-14,360666.0,71012.0
2010-01-15,412092.0,66583.0
2010-01-18,282532.0,59960.0
2010-01-19,257556.0,48807.0
2010-01-20,162128.0,45179.0
2010-01-21,547954.0,71542.0
2010-01-22,627324.0,79270.0
2010-01-25,569736.0,85648.0
2010-01-26,810362.0,108143.0
2010-01-27,694706.0,97672.0
2010-01-28,421842.0,97226.0
2010-01-29,827258.0,94313.0
2010-02-01,1014014.0,100046.0
2010-02-02,811038.0,88545.0
2010-02-03,1037960.0,85120.0
2010-02-04,1127880.0,85708.0
2010-02-05,818788.0,81080.0
2010-02-08,733668.0,83046.0
2010-02-09,855268.0,86073.0
2010-02-10,749502.0,77286.0
2010-02-11,652988.0,71718.0
2010-02-12,346594.0,61761.0
2010-02-22,318244.0,55130.0
2010-02-23,278404.0,57107.0
2010-02-24,188724.0,53603.0
2010-02-25,195280.0,47610.0
2010-02-26,502646.0,81355.0
2010-03-01,540008.0,86238.0
2010-03-02,490752.0,92409.0
2010-03-03,547928.0,88629.0
2010-03-04,610622.0,83562.0
2010-03-05,585200.0,79794.0
2010-03-08,608786.0,87468.0
2010-03-09,607574.0,84692.0
2010-03-10,613210.0,87168.0
2010-03-11,670832.0,85546.0
2010-03-12,533276.0,85353.0
2010-03-15,617032.0,87577.0
2010-03-16,727168.0,93204.0
2010-03-17,504916.0,84605.0
2010-03-18,648724.0,84376.0
2010-03-19,463332.0,79298.0
2010-03-22,517548.0,86253.0
2010-03-23,468450.0,85379.0
2010-03-24,524348.0,94366.0
2010-03-25,594212.0,91872.0
2010-03-26,420116.0,77967.0
2010-03-29,273160.0,60880.0
2010-03-30,146624.0,52777.0
2010-03-31,408270.0,80888.0
2010-04-01,791790.0,109535.0
2010-04-02,595194.0,96222.0
2010-04-06,535474.0,104820.0
2010-04-07,626774.0,109494.0
2010-04-08,517940.0,111776.0
