,IF.CFE
2010-04-19,IF1005.CFE
2010-04-20,IF1005.CFE
2010-04-21,IF1005.CFE
2010-04-22,IF1005.CFE
2010-04-23,IF1005.CFE
2010-04-26,IF1005.CFE
2010-04-27,IF1005.CFE
2010-04-28,IF1005.CFE
2010-04-29,IF1005.CFE
2010-04-30,IF1005.CFE
2010-05-04,IF1005.CFE
2010-05-05,IF1005.CFE
2010-05-06,IF1005.CFE
2010-05-07,IF1005.CFE
2010-05-10,IF1005.CFE
2010-05-11,IF1005.CFE
2010-05-12,IF1005.CFE
2010-05-13,IF1005.CFE
2010-05-14,IF1005.CFE
2010-05-17,IF1005.CFE
2010-05-18,IF1005.CFE
2010-05-19,IF1006.CFE
2010-05-20,IF1006.CFE
2010-05-21,IF1006.CFE
2010-05-24,IF1006.CFE
2010-05-25,IF1006.CFE
2010-05-26,IF1006.CFE
2010-05-27,IF1006.CFE
2010-05-28,IF1006.CFE
2010-05-31,IF1006.CFE
2010-06-01,IF1006.CFE
2010-06-02,IF1006.CFE
2010-06-03,IF1006.CFE
2010-06-04,IF1006.CFE
2010-06-07,IF1006.CFE
2010-06-08,IF1006.CFE
2010-06-09,IF1006.CFE
2010-06-10,IF1006.CFE
2010-06-11,IF1006.CFE
2010-06-17,IF1006.CFE
2010-06-18,IF1006.CFE
2010-06-21,IF1007.CFE
2010-06-22,IF1007.CFE
2010-06-23,IF1007.CFE
2010-06-24,IF1007.CFE
2010-06-25,IF1007.CFE
2010-06-28,IF1007.CFE
2010-06-29,IF1007.CFE
2010-06-30,IF1007.CFE
2010-07-01,IF1007.CFE
2010-07-02,IF1007.CFE
2010-07-05,IF1007.CFE
2010-07-06,IF1007.CFE
2010-07-07,IF1007.CFE
2010-07-08,IF1007.CFE
2010-07-09,IF1007.CFE
2010-07-12,IF1007.CFE
2010-07-13,IF1007.CFE
2010-07-14,IF1007.CFE
2010-07-15,IF1007.CFE
2010-07-16,IF1008.CFE
2010-07-19,IF1008.CFE
2010-07-20,IF1008.CFE
2010-07-21,IF1008.CFE
2010-07-22,IF1008.CFE
2010-07-23,IF1008.CFE
2010-07-26,IF1008.CFE
2010-07-27,IF1008.CFE
2010-07-28,IF1008.CFE
2010-07-29,IF1008.CFE
2010-07-30,IF1008.CFE
2010-08-02,IF1008.CFE
2010-08-03,IF1008.CFE
2010-08-04,IF1008.CFE
2010-08-05,IF1008.CFE
2010-08-06,IF1008.CFE
2010-08-09,IF1008.CFE
2010-08-10,IF1008.CFE
2010-08-11,IF1008.CFE
2010-08-12,IF1008.CFE
2010-08-13,IF1008.CFE
2010-08-16,IF1008.CFE
2010-08-17,IF1008.CFE
2010-08-18,IF1008.CFE
2010-08-19,IF1009.CFE
2010-08-20,IF1009.CFE
2010-08-23,IF1009.CFE
2010-08-24,IF1009.CFE
2010-08-25,IF1009.CFE
2010-08-26,IF1009.CFE
2010-08-27,IF1009.CFE
2010-08-30,IF1009.CFE
2010-08-31,IF1009.CFE
2010-09-01,IF1009.CFE
2010-09-02,IF1009.CFE
2010-09-03,IF1009.CFE
2010-09-06,IF1009.CFE
2010-09-07,IF1009.CFE
2010-09-08,IF1009.CFE
2010-09-09,IF1009.CFE
2010-09-10,IF1009.CFE
2010-09-13,IF1009.CFE
2010-09-14,IF1009.CFE
2010-09-15,IF1009.CFE
2010-09-16,IF1009.CFE
2010-09-17,IF1010.CFE
2010-09-20,IF1010.CFE
2010-09-21,IF1010.CFE
2010-09-27,IF1010.CFE
2010-09-28,IF1010.CFE
2010-09-29,IF1010.CFE
2010-09-30,IF1010.CFE
2010-10-08,IF1010.CFE
2010-10-11,IF1010.CFE
2010-10-12,IF1010.CFE
2010-10-13,IF1010.CFE
2010-10-14,IF1010.CFE
2010-10-15,IF1011.CFE
2010-10-18,IF1011.CFE
2010-10-19,IF1011.CFE
2010-10-20,IF1011.CFE
2010-10-21,IF1011.CFE
2010-10-22,IF1011.CFE
2010-10-25,IF1011.CFE
2010-10-26,IF1011.CFE
2010-10-27,IF1011.CFE
2010-10-28,IF1011.CFE
2010-10-29,IF1011.CFE
2010-11-01,IF1011.CFE
2010-11-02,IF1011.CFE
2010-11-03,IF1011.CFE
2010-11-04,IF1011.CFE
2010-11-05,IF1011.CFE
2010-11-08,IF1011.CFE
2010-11-09,IF1011.CFE
2010-11-10,IF1011.CFE
2010-11-11,IF1011.CFE
2010-11-12,IF1012.CFE
2010-11-15,IF1012.CFE
2010-11-16,IF1012.CFE
2010-11-17,IF1012.CFE
2010-11-18,IF1012.CFE
2010-11-19,IF1012.CFE
2010-11-22,IF1012.CFE
2010-11-23,IF1012.CFE
2010-11-24,IF1012.CFE
2010-11-25,IF1012.CFE
2010-11-26,IF1012.CFE
2010-11-29,IF1012.CFE
2010-11-30,IF1012.CFE
2010-12-01,IF1012.CFE
2010-12-02,IF1012.CFE
2010-12-03,IF1012.CFE
2010-12-06,IF1012.CFE
2010-12-07,IF1012.CFE
2010-12-08,IF1012.CFE
2010-12-09,IF1012.CFE
2010-12-10,IF1012.CFE
2010-12-13,IF1012.CFE
2010-12-14,IF1012.CFE
2010-12-15,IF1012.CFE
2010-12-16,IF1101.CFE
2010-12-17,IF1101.CFE
2010-12-20,IF1101.CFE
2010-12-21,IF1101.CFE
2010-12-22,IF1101.CFE
2010-12-23,IF1101.CFE
2010-12-24,IF1101.CFE
2010-12-27,IF1101.CFE
2010-12-28,IF1101.CFE
2010-12-29,IF1101.CFE
2010-12-30,IF1101.CFE
2010-12-31,IF1101.CFE
2011-01-04,IF1101.CFE
2011-01-05,IF1101.CFE
2011-01-06,IF1101.CFE
2011-01-07,IF1101.CFE
2011-01-10,IF1101.CFE
2011-01-11,IF1101.CFE
2011-01-12,IF1101.CFE
2011-01-13,IF1101.CFE
2011-01-14,IF1101.CFE
2011-01-17,IF1101.CFE
2011-01-18,IF1101.CFE
2011-01-19,IF1101.CFE
2011-01-20,IF1101.CFE
2011-01-21,IF1102.CFE
2011-01-24,IF1102.CFE
2011-01-25,IF1102.CFE
2011-01-26,IF1102.CFE
2011-01-27,IF1102.CFE
2011-01-28,IF1102.CFE
2011-01-31,IF1102.CFE
2011-02-01,IF1102.CFE
2011-02-09,IF1102.CFE
2011-02-10,IF1102.CFE
2011-02-11,IF1102.CFE
2011-02-14,IF1102.CFE
2011-02-15,IF1102.CFE
2011-02-16,IF1103.CFE
2011-02-17,IF1103.CFE
2011-02-18,IF1103.CFE
2011-02-21,IF1103.CFE
2011-02-22,IF1103.CFE
2011-02-23,IF1103.CFE
2011-02-24,IF1103.CFE
2011-02-25,IF1103.CFE
2011-02-28,IF1103.CFE
2011-03-01,IF1103.CFE
2011-03-02,IF1103.CFE
2011-03-03,IF1103.CFE
2011-03-04,IF1103.CFE
2011-03-07,IF1103.CFE
2011-03-08,IF1103.CFE
2011-03-09,IF1103.CFE
2011-03-10,IF1103.CFE
2011-03-11,IF1103.CFE
2011-03-14,IF1103.CFE
2011-03-15,IF1103.CFE
2011-03-16,IF1103.CFE
2011-03-17,IF1103.CFE
2011-03-18,IF1104.CFE
2011-03-21,IF1104.CFE
2011-03-22,IF1104.CFE
2011-03-23,IF1104.CFE
2011-03-24,IF1104.CFE
2011-03-25,IF1104.CFE
2011-03-28,IF1104.CFE
2011-03-29,IF1104.CFE
2011-03-30,IF1104.CFE
2011-03-31,IF1104.CFE
2011-04-01,IF1104.CFE
2011-04-06,IF1104.CFE
2011-04-07,IF1104.CFE
2011-04-08,IF1104.CFE
2011-04-11,IF1104.CFE
2011-04-12,IF1104.CFE
2011-04-13,IF1104.CFE
2011-04-14,IF1104.CFE
2011-04-15,IF1105.CFE
2011-04-18,IF1105.CFE
2011-04-19,IF1105.CFE
2011-04-20,IF1105.CFE
2011-04-21,IF1105.CFE
2011-04-22,IF1105.CFE
2011-04-25,IF1105.CFE
2011-04-26,IF1105.CFE
2011-04-27,IF1105.CFE
2011-04-28,IF1105.CFE
2011-04-29,IF1105.CFE
2011-05-03,IF1105.CFE
2011-05-04,IF1105.CFE
2011-05-05,IF1105.CFE
