,Level,KDJ,Contango,hm_down,hm_up,Seasonal,LastLevel
TA801,long_1,bottom deviate,0.6%,0,0,56%,long_1
C1801,long_1,null,2.4%,0,0,50%,long_1
CS1801,long_1,null,-9.8%,0,0,50%,null
ZN1711,long_1,null,-2.7%,0,1,50%,long_1
CF801,long_1,null,-3.0%,0,0,46%,long_1
M1801,long_1,bottom deviate,-4.8%,0,0,35%,null
RM801,long_1,bottom deviate,-5.1%,0,0,25%,null
AU1712,long_2,gold cross,null,0,1,59%,null
JD1801,short_1,null,null,0,1,67%,short_1
SR801,short_1,bottom deviate,-6.6%,0,0,64%,short_1
L1801,short_1,gold cross,1.4%,0,0,60%,short_1
NI1801,short_1,top deviate,-0.8%,0,0,57%,null
Y1801,short_1,top deviate,0.9%,0,0,55%,short_1
AG1712,short_1,gold cross,null,0,1,53%,short_1
RU1801,short_1,top deviate,19.9%,0,0,53%,short_1
OI801,short_1,null,-1.7%,0,0,50%,short_1
MA801,short_1,top deviate,-1.1%,0,0,40%,null
I1801,short_1,null,-11.7%,0,0,33%,short_1
J1801,short_1,null,-15.4%,0,0,33%,null
FG801,short_1,death cross,-9.6%,1,0,25%,null
JM1801,short_1,null,-19.6%,0,0,25%,short_1
RB1801,short_1,gold cross,-8.3%,0,0,25%,short_1
V1801,short_1,gold cross,null,0,0,25%,short_1
