,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
FG801,long_1,null,null,-9.9%,h5>h60,75%,null
SR801,long_1,null,null,-0.9%,h5>h60|today,64%,long_1
CS1801,long_1,null,null,-15.1%,null,50%,null
ZN1712,long_1,null,null,-1.3%,h5<h60|today,42%,long_1
MA801,long_1,null,null,-3.8%,h5>h60,40%,null
BU1712,long_1,null,null,7.1%,h5<h60|today,33%,long_1
NI1801,long_1,null,null,-0.5%,h5>h60,33%,long_1
JD1801,long_2,null,null,null,null,67%,null
RM801,short_1,null,null,-4.4%,h5<h60|today,75%,short_1
HC1801,short_1,null,gold cross,-1.8%,null,67%,short_1
Y1801,short_1,null,null,1.5%,h5<h60|today,64%,null
A1801,short_1,null,null,-1.9%,h5>h60,59%,short_1
AU1712,short_1,null,null,null,h5<h60|today,59%,short_1
AL1712,short_1,null,null,1.3%,h5<h60,57%,short_1
AG1712,short_1,null,null,null,null,53%,null
ZC801,short_1,null,null,-14.1%,h5<h60,50%,short_1
V1801,short_1,null,null,null,null,38%,short_1
