,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
I,long_1,null,null,1.4%,-0.082095326524295853,-0.058031569173630455,h>h60,h5>h60,75%,long_1
CU,long_1,null,null,1.6%,-0.027584621044885946,-0.024705665930831493,h>h60,h5>h60,73%,long_1
NI,long_1,null,null,1.1%,-0.046348461137193535,-0.038382889932185707,h>h60,h5>h60,69%,long_1
ZN,long_1,null,null,-1.0%,-0.038535551206784036,-0.0091487279843444225,h>h60,h5>h60,69%,long_1
PP,long_1,null,null,1.5%,-0.038372491699148206,-0.01997618016457341,null,null,67%,long_1
RB,long_1,null,null,-16.7%,-0.019462859085500633,-0.018842427332993395,h>h60,h5>h60,63%,null
FG,long_1,null,null,-4.5%,-0.088575089126559786,-0.02963458110516929,h>h60,h5>h60,50%,long_1
ZC,long_1,null,null,-9.8%,-0.092949727120067105,-0.06700776658270334,h>h60,h5>h60,50%,long_1
IH,long_1,null,null,1.0%,-0.056665768105631842,-0.0099738237254661365,null,null,46%,long_1
JM,long_1,null,null,-0.8%,-0.11588391136801549,-0.061669075144508603,h>h60,h5>h60,25%,long_1
CS,long_1,null,null,-3.4%,-0.018542737038766847,-0.013451658103689949,null,null,0%,long_1
J,long_2,null,null,-9.2%,-0.029372937293729459,-0.006883545497406841,h>h60,h5>h60|today,50%,null
SF,long_2,null,null,null,-0.053078497023809464,-0.032938058035714333,null,null,0%,long_1
L,null,null,null,1.0%,-0.0072609819121447032,-0.011800172265288482,null,null,80%,null
RU,null,null,null,16.3%,0.0052438446969697398,0.0079427083333333762,h<h60,h5<h60|today,76%,long_1
HC,null,null,null,-9.5%,-0.013402584241195867,-0.0065366100836078498,h>h60,h5>h60|today,67%,short_1
MA,null,2_long,top deviate,-16.4%,-0.028203817314246763,-0.0017723244717109128,h>h60,null,67%,null
IF,null,null,null,0.9%,-0.0013960855652659367,-0.010011804761730103,null,null,53%,null
RM,null,null,null,-0.4%,-0.01681884057971017,0.015021739130434862,h<h60,h5<h60,50%,null
V,null,null,null,1.2%,0.0089738711314053324,-0.018949771689497717,null,null,50%,null
P,short_1,null,null,1.0%,0.077444097763910535,0.078029121164846574,h<h60,h5<h60,80%,short_1
TF,short_1,null,null,null,0.0064325211681366982,0.0012078797304301487,null,null,75%,short_1
M,short_1,null,null,-5.2%,0.012091855041262941,0.016846071044133413,h<h60,h5<h60,71%,short_1
AL,short_1,null,bottom deviate,2.3%,0.071147503696121869,0.065137040827931356,h>h60,h5>h60,69%,short_1
TA,short_1,null,bottom deviate,-5.2%,0.008538404175988102,0.008240119313944784,h>h60,h5>h60,60%,short_1
AU,short_1,null,bottom deviate,null,0.014729811778991755,0.0050546448087431277,h<h60,h5<h60|today,59%,short_1
IC,short_1,null,top deviate,0.1%,0.011917349255964335,-7.8049210547638715e-05,null,null,57%,short_2
T,short_1,null,null,null,0.013116511473527279,0.0042180239338316947,null,null,50%,short_1
BU,short_1,null,death cross,4.0%,0.026322547508988246,0.0099383667180278044,h<h60,h5<h60,25%,short_1
JD,short_1,null,null,null,0.028026490066225214,0.0303443708609272,null,null,0%,short_1
AG,short_2,null,null,null,0.036388376788692785,-0.004951277324203366,h<h60,h5<h60|today,47%,short_2
