,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
ZC,long_1,null,null,16.0,-0.086658405617512799,-0.05769826517967782,h>h60,h5>h60,100.0,long_1,5.0
FG,long_1,null,top deviate,1.0,-0.06689008042895439,-0.0097408400357461809,h>h60,h5>h60|today,80.0,long_1,1.8
TA,long_1,null,top deviate,2.0,-0.017583333333333256,-0.006285714285714253,h<h60,h5<h60,80.0,long_1,1.9
L,long_1,null,top deviate,-1.0,-0.013460559796437659,-0.0077862595419847325,h<h60,h5<h60,70.0,long_1,1.4
ZN,long_1,null,null,-0.0,-0.038154773353850049,-0.02042379944861196,h<h60,h5<h60,69.0,long_1,3.5
IH,long_1,null,top deviate,1.0,-0.066019135898130882,-0.026680824067259096,h>h60,h5>h60,62.0,long_1,1.5
IF,long_1,null,top deviate,0.0,-0.039105065927199832,-0.029835077993586635,h>h60,h5>h60,60.0,long_1,1.4
I,long_1,null,top deviate,1.0,-0.058977343265052794,-0.015207945375543071,h<h60,h5<h60,50.0,long_1,1.4
BU,long_1,null,null,-13.0,-0.025555555555555543,-0.0050724637681159417,h<h60,null,25.0,long_1,1.9
RU,long_2,null,top deviate,-14.0,-0.0028363806844819931,-0.0010314111579933938,h<h60,h5<h60,82.0,short_1,0.2
RM,long_2,null,bottom deviate,-1.0,-0.0062124542124541594,0.0069230769230769233,h>h60,h5>h60,75.0,long_2,3.0
IC,null,null,top deviate,0.0,0.0011011507797488882,0.0055701121054804893,h<h60,h5<h60,75.0,null,0.0
PP,null,null,top deviate,0.0,-0.036143905552010289,0.0026271006168901009,h<h60,h5<h60,67.0,null,0.0
AU,null,2_long,null,0.0,-0.0032867633888599155,-0.00034927458355731684,h<h60,h5<h60,65.0,long_1,0.0
RB,null,null,null,2.0,-0.0067877215737137519,-0.0094422827496757691,h>h60,h5>h60,63.0,null,0.0
V,null,null,top deviate,-1.0,0.011553459119496901,0.010465408805031402,h<h60,h5<h60,63.0,null,0.0
SF,null,null,null,0.0,-0.022854929304667784,-0.039250435793143496,h>h60,h5>h60,50.0,null,0.0
JM,null,null,null,8.0,-0.015480380654412783,0.036123060878633866,h<h60,h5<h60,25.0,null,0.0
MA,short_1,null,null,12.0,0.031405251951738822,0.036373314407381119,h<h60,h5<h60,83.0,short_1,1.8
CU,short_1,null,top deviate,-1.0,0.02206183646861613,0.016911901657664371,h<h60,h5<h60,73.0,short_1,3.0
AG,short_1,null,null,0.0,0.011878190154857741,0.0092655073968335895,h<h60,h5<h60,71.0,short_2,2.9
HC,short_1,2_short,null,5.0,0.0026590693257360475,0.00084175084175084171,h>h60,h5>h60|today,67.0,short_1,2.5
M,short_1,2_short,bottom deviate,3.0,0.010336104083845287,0.0029996385977593717,h>h60,h5>h60,65.0,short_1,0.7
NI,short_1,null,top deviate,-1.0,0.008969072164948454,0.020453608247422681,h<h60,h5<h60,62.0,null,3.2
AL,short_1,null,top deviate,-1.0,0.08012754811524879,0.039591162737729148,h<h60,h5<h60,54.0,short_1,3.3
J,short_1,null,top deviate,15.0,0.036661585365853705,0.0273119918699187,h<h60,h5<h60,50.0,short_1,2.3
P,short_1,null,top deviate,-2.0,0.057517594369801722,0.043582853486884184,h<h60,h5<h60,50.0,short_1,3.4
JD,short_1,null,gold cross,0.0,0.026247288503253845,0.019143167028199543,h<h60,h5<h60,0.0,short_1,2.0
T,short_1,null,null,0.0,0.023879176909769165,0.012447418738049292,h<h60,h5<h60,0.0,short_1,4.0
CS,short_2,2_short,null,6.0,0.0063593380614656346,0.0047754137115838813,h<h60,h5<h60,100.0,short_2,1.4
TF,short_2,null,null,0.0,0.01208498815496196,0.0061602912486064471,h<h60,h5<h60,50.0,short_2,2.8
