,corr_month
Sep-04,0.908058141
Oct-04,0.412754087
Nov-04,0.683228582
Dec-04,0.607215363
Jan-05,0.369733688
Feb-05,0.823158137
Mar-05,0.574577082
Apr-05,0.223753966
May-05,0.172490247
Jun-05,0.613368226
Jul-05,0.760673854
Aug-05,0.879281585
Sep-05,-0.698580691
Oct-05,0.763003967
Nov-05,0.776121878
Dec-05,0.878674279
Jan-06,0.316790727
Feb-06,0.55904603
Mar-06,0.913773011
Apr-06,0.756126862
May-06,-0.105850621
Jun-06,0.63972927
Jul-06,0.893045343
Aug-06,0.552593199
Sep-06,0.394367131
Oct-06,0.830909605
Nov-06,0.50743046
Dec-06,0.354915901
Jan-07,0.676669037
Feb-07,0.313413901
Mar-07,0.749864246
Apr-07,0.781084141
May-07,0.540139939
Jun-07,0.837357257
Jul-07,0.200345469
Aug-07,0.807070809
Sep-07,0.390455652
Oct-07,0.52747989
Nov-07,0.275876033
Dec-07,-0.577040864
Jan-08,0.904525646
Feb-08,0.882267894
Mar-08,0.911083729
Apr-08,0.534957788
May-08,-0.823115331
Jun-08,0.836227122
Jul-08,0.8259341
Aug-08,-0.179804049
Sep-08,0.877214386
Oct-08,0.49744347
Nov-08,0.696478509
Dec-08,0.771334946
Jan-09,0.585085917
Feb-09,0.588644228
Mar-09,0.787828192
Apr-09,0.609992762
May-09,0.367457115
Jun-09,-0.253463186
Jul-09,0.48524946
Aug-09,-0.338113884
Sep-09,0.810828441
Oct-09,0.707148015
Nov-09,0.96710875
Dec-09,-0.018995135
Jan-10,0.730111856
Feb-10,0.923412427
Mar-10,0.537662374
Apr-10,0.080862877
May-10,-0.550195705
Jun-10,-0.055251626
Jul-10,0.910986102
Aug-10,0.483516898
Sep-10,0.830301633
Oct-10,0.241183553
Nov-10,0.932101537
Dec-10,0.813728519
Jan-11,0.832429409
Feb-11,0.571750692
Mar-11,0.41784909
Apr-11,0.649573129
May-11,0.762866993
Jun-11,0.8591717
Jul-11,0.924331098
Aug-11,-0.078096437
Sep-11,0.955329161
Oct-11,0.674341638
Nov-11,0.933971613
Dec-11,0.432003574
Jan-12,0.248743279
Feb-12,0.80909847
Mar-12,0.374828626
Apr-12,0.352681463
May-12,0.774943761
Jun-12,0.939616207
Jul-12,0.925743874
Aug-12,-0.138906943
Sep-12,0.793472108
Oct-12,-0.252089431
Nov-12,0.151806395
Dec-12,0.368706407
Jan-13,-0.769927497
Feb-13,-0.311329291
Mar-13,-0.785300607
Apr-13,0.268147233
May-13,0.562822448
Jun-13,0.663524343
Jul-13,0.087683943
Aug-13,0.428887333
Sep-13,-0.101493669
Oct-13,0.340128189
Nov-13,0.569310249
Dec-13,0.05011555
Jan-14,-0.284387627
Feb-14,-0.038069972
Mar-14,0.002284713
Apr-14,0.668417333
May-14,0.269678058
Jun-14,0.4085528
Jul-14,-0.57699825
Aug-14,-0.237376023
Sep-14,0.821034852
Oct-14,0.769257679
Nov-14,-0.366029924
Dec-14,0.330363713
Jan-15,-0.713496861
Feb-15,0.818063704
Mar-15,0.484708724
Apr-15,0.03257623
May-15,0.613255277
Jun-15,0.053440895
Jul-15,0.435586032
Aug-15,0.196657167
Sep-15,0.483434206
Oct-15,-0.59038179
Nov-15,-0.43992509
Dec-15,0.519444086
Jan-16,0.358907947
Feb-16,0.859333268
Mar-16,0.046178393
Apr-16,0.966166247
May-16,0.787981573
Jun-16,-0.264020075
Jul-16,0.872274286
Aug-16,0.395255442
Sep-16,0.608180148
Oct-16,0.887905252
Nov-16,0.619384524
Dec-16,0.6972621
Jan-17,0.790036298
Feb-17,0.175293944
Mar-17,0.275504744
Apr-17,-0.644451059
May-17,0.74480876
Jun-17,0.24931272
Jul-17,0.013331832
Aug-17,-0.459882545
Sep-17,0.606079082
Oct-17,0.358544601
Nov-17,0.761704832
Dec-17,-0.651260858
Jan-18,-0.47195136
Feb-18,0.469965318
Mar-18,0.280166793
