,C.DCE,M.DCE,index,c_standard,m_standard,index_standard,,C,M,,,,,"corr(c,index)","corr(m,index)","corr(c,m)"
2006/1/4,1391,2397,1000,1,1,1,,1391,2397,,,,,0.459821828,0.355013579,0.593195854
2006/1/5,1386,2422,1001.171119,0.996405464,1.010429704,1.001171119,,1386,2422,,,,,,,
2006/1/6,1388,2418,1001.553274,0.997843278,1.008760951,1.001553274,,1388,2418,,,,,,,
2006/1/9,1389,2393,998.4837091,0.998562185,0.998331247,0.998483709,,1389,2393,,,,,,,
2006/1/10,1385,2375,994.033457,0.995686556,0.990821861,0.994033457,,1385,2375,,,,,,,
2006/1/11,1384,2365,992.1411753,0.994967649,0.986649979,0.992141175,,1384,2365,,,,,,,
2006/1/12,1372,2337,982.4763619,0.986340762,0.974968711,0.982476362,,1372,2337,,,,,,,
2006/1/13,1367,2301,974.9996918,0.982746226,0.959949937,0.974999692,,1367,2301,,,,,,,
2006/1/16,1379,2324,983.9556701,0.991373113,0.969545265,0.98395567,,1379,2324,,,,,,,
2006/1/17,1386,2321,986.8526486,0.996405464,0.9682937,0.986852649,,1386,2321,,,,,,,
2006/1/18,1372,2263,971.9856014,0.986340762,0.944096788,0.971985601,,1372,2263,,,,,,,
2006/1/19,1373,2268,973.1690479,0.987059669,0.946182728,0.973169048,,1373,2268,,,,,,,
2006/1/20,1379,2278,977.4343865,0.991373113,0.95035461,0.977434387,,1379,2278,,,,,,,
2006/1/23,1384,2303,983.3516192,0.994967649,0.960784314,0.983351619,,1384,2303,,,,,,,
2006/1/24,1382,2295,981.2682602,0.993529835,0.957446809,0.98126826,,1382,2295,,,,,,,
2006/1/25,1414,2297,996.7393582,1.016534867,0.958281185,0.996739358,,1414,2297,,,,,,,
2006/2/6,1493,2403,1049.260962,1.073328541,1.002503129,1.049260962,,1493,2403,,,,,,,
2006/2/7,1508,2366,1051.134753,1.08411215,0.987067167,1.051134753,,1508,2366,,,,,,,
2006/2/8,1465,2287,1019.526868,1.053199137,0.954109303,1.019526868,,1465,2287,,,,,,,
2006/2/9,1481,2285,1026.837116,1.064701653,0.953274927,1.026837116,,1481,2285,,,,,,,
2006/2/10,1478,2281,1024.846214,1.062544932,0.951606174,1.024846214,,1478,2281,,,,,,,
2006/2/13,1461,2282,1016.919587,1.050323508,0.952023363,1.016919587,,1461,2282,,,,,,,
2006/2/14,1462,2289,1018.386568,1.051042416,0.95494368,1.018386568,,1462,2289,,,,,,,
2006/2/15,1465,2287,1019.526868,1.053199137,0.954109303,1.019526868,,1465,2287,,,,,,,
2006/2/16,1481,2285,1026.837116,1.064701653,0.953274927,1.026837116,,1481,2285,,,,,,,
2006/2/17,1486,2316,1033.604951,1.06829619,0.96620776,1.033604951,,1486,2316,,,,,,,
2006/2/20,1480,2321,1031.466118,1.063982746,0.9682937,1.031466118,,1480,2335.3,,,,,,,
2006/2/21,1479,2322.4,1028.39136,1.063263839,0.968877764,1.02839136,,1479,2316,,,,,,,
2006/2/22,1493,2316.4,1031.418702,1.073328541,0.966374635,1.031418702,,1493,2288.015,,,,,,,
2006/2/23,1481,2306.4,1021.801485,1.064701653,0.962202753,1.021801485,,1481,2258.1,,,,,,,
2006/2/24,1482,2341.6,1024.853395,1.065420561,0.976887776,1.024853395,,1482,2277.4,,,,,,,
2006/2/27,1482,2328,1020.374066,1.065420561,0.971214018,1.020374066,,1482,2246.52,,,,,,,
2006/2/28,1472,2338,1017.087602,1.058231488,0.975385899,1.017087602,,1472,2256.17,,,,,,,
2006/3/1,1465,2341,1014.227161,1.053199137,0.976637463,1.014227161,,1465,2259.065,,,,,,,
2006/3/2,1457,2329,1008.798409,1.047447879,0.971631206,1.008798409,,1457,2247.485,,,,,,,
2006/3/3,1474,2366,1021.944265,1.059669303,0.987067167,1.021944265,,1474,2283.19,,,,,,,
2006/3/6,1463,2339,1013.009952,1.051761323,0.975803087,1.013009952,,1463,2257.135,,,,,,,
2006/3/7,1456,2348,1010.989385,1.046728972,0.979557781,1.010989385,,1456,2265.82,,,,,,,
2006/3/8,1439,2316,998.5434239,1.034507549,0.96620776,0.998543424,,1439,2234.94,,,,,,,
