,A.DCE,C.DCE,CS.DCE,M.DCE,Y.DCE,P.DCE,JD.DCE,L.DCE,PP.DCE,V.DCE,J.DCE,JM.DCE,I.DCE,CF.CZC,SR.CZC,RM.CZC,TA.CZC,FG.CZC,MA.CZC,ZC.CZC,CU.SHF,ZN.SHF,AL.SHF,NI.SHF,AU.SHF,AG.SHF,BU.SHF,RU.SHF,HC.SHF,RB.SHF,IC.CFE,IH.CFE,IF.CFE,T.CFE,TF.CFE
2000-01-04,2247.0,,,,,,,,,,,,,,,,,,,,19080.0,,16550.0,,,,,9490.0,,,,,,,
2000-01-05,2250.0,,,,,,,,,,,,,,,,,,,,18840.0,,16450.0,,,,,9530.0,,,,,,,
2000-01-06,2248.0,,,,,,,,,,,,,,,,,,,,18960.0,,16500.0,,,,,9560.0,,,,,,,
2000-01-07,2256.0,,,,,,,,,,,,,,,,,,,,18990.0,,16520.0,,,,,9635.0,,,,,,,
2000-01-10,2256.0,,,,,,,,,,,,,,,,,,,,18990.0,,16520.0,,,,,9635.0,,,,,,,
2000-01-11,2290.0,,,,,,,,,,,,,,,,,,,,18930.0,,16440.0,,,,,9670.0,,,,,,,
2000-01-12,2277.0,,,,,,,,,,,,,,,,,,,,18910.0,,16440.0,,,,,9680.0,,,,,,,
2000-01-13,2284.0,,,,,,,,,,,,,,,,,,,,19110.0,,16410.0,,,,,9800.0,,,,,,,
2000-01-14,2307.0,,,,,,,,,,,,,,,,,,,,19140.0,,16410.0,,,,,9875.0,,,,,,,
2000-01-17,2308.0,,,,,,,,,,,,,,,,,,,,19200.0,,16430.0,,,,,9830.0,,,,,,,
2000-01-18,2305.0,,,,,,,,,,,,,,,,,,,,19340.0,,16540.0,,,,,9805.0,,,,,,,
2000-01-19,2328.0,,,,,,,,,,,,,,,,,,,,19300.0,,16630.0,,,,,9980.0,,,,,,,
2000-01-20,2317.0,,,,,,,,,,,,,,,,,,,,19320.0,,16620.1364176,,,,,9970.0,,,,,,,
2000-01-21,2340.0,,,,,,,,,,,,,,,,,,,,19300.0,,16620.1364176,,,,,9950.0,,,,,,,
2000-01-24,2390.0,,,,,,,,,,,,,,,,,,,,19340.0,,16620.1364176,,,,,9760.0,,,,,,,
2000-01-25,2379.0,,,,,,,,,,,,,,,,,,,,19220.0,,16560.9549229,,,,,9645.0,,,,,,,
2000-01-26,2384.0,,,,,,,,,,,,,,,,,,,,19180.0,,16630.0,,,,,9635.0,,,,,,,
2000-01-27,2380.0,,,,,,,,,,,,,,,,,,,,19230.0,,16738.4994069,,,,,9725.0,,,,,,,
2000-01-28,2442.0,,,,,,,,,,,,,,,,,,,,19240.0,,16768.0901542,,,,,9740.0,,,,,,,
2000-02-14,2475.0,,,,,,,,,,,,,,,,,,,,19309.1730868,,16866.7259786,,,,,10000.0,,,,,,,
2000-02-15,2454.0,,,,,,,,,,,,,,,,,,,,19249.8818695,,16748.3629893,,,,,9950.0,,,,,,,
2000-02-16,2437.0,,,,,,,,,,,,,,,,,,,,18963.3076528,,16462.3190985,,,,,9840.0,,,,,,,
2000-02-17,2458.0,,,,,,,,,,,,,,,,,,,,18973.1895223,,16442.5919336,,,,,9875.0,,,,,,,
2000-02-18,2435.0,,,,,,,,,,,,,,,,,,,,19052.2444787,,16531.3641756,,,,,9855.0,,,,,,,
2000-02-21,2472.0,,,,,,,,,,,,,,,,,,,,18992.9532614,,16639.8635824,,,,,9860.0,,,,,,,
2000-02-22,2480.0,,,,,,,,,,,,,,,,,,,,18805.1977401,,16570.8185053,,,,,9790.0,,,,,,,
2000-02-23,2458.0,,,,,,,,,,,,,,,,,,,,18923.7801746,,16630.0,,,,,9780.0,,,,,,,
2000-02-24,2400.0,,,,,,,,,,,,,,,,,,,,19032.4807396,,16669.4543298,,,,,9810.0,,,,,,,
2000-02-25,2389.0,,,,,,,,,,,,,,,,,,,,19022.5988701,,16639.8635824,,,,,9700.0,,,,,,,
2000-02-28,2382.0,,,,,,,,,,,,,,,,,,,,18824.9614792,,16620.1364176,,,,,9755.0,,,,,,,
2000-02-29,2371.0,,,,,,,,,,,,,,,,,,,,18271.5767848,,16473.7464902,,,,,9555.0,,,,,,,
2000-03-01,2381.0,,,,,,,,,,,,,,,,,,,,18261.6949153,,16463.9871617,,,,,9600.0,,,,,,,
2000-03-02,2385.0,,,,,,,,,,,,,,,,,,,,18301.2223934,,16493.2651472,,,,,9625.0,,,,,,,
2000-03-03,2409.0,,,,,,,,,,,,,,,,,,,,18291.4460994,,16473.7464902,,,,,9600.0,,,,,,,
2000-03-06,2385.0,,,,,,,,,,,,,,,,,,,,18281.6698054,,16463.9871617,,,,,9545.0,,,,,,,
2000-03-07,2397.0,,,,,,,,,,,,,,,,,,,,18262.1172174,,16454.2278332,,,,,9600.0,,,,,,,
2000-03-08,2387.0,,,,,,,,,,,,,,,,,,,,17822.1839868,,16249.281935,,,,,9630.0,,,,,,,
2000-03-09,2397.0,,,,,,,,,,,,,,,,,,,,17880.8417508,,16171.207307,,,,,9600.0,,,,,,,
2000-03-10,2393.0,,,,,,,,,,,,,,,,,,,,18086.1439251,,16288.3192489,,,,,9580.0,,,,,,,
2000-03-13,2397.0,,,,,,,,,,,,,,,,,,,,17919.9469269,,16229.763278,,,,,9555.0,,,,,,,
2000-03-14,2428.0,,,,,,,,,,,,,,,,,,,,17880.8417508,,16229.763278,,,,,9570.0,,,,,,,
2000-03-15,2437.0,,,,,,,,,,,,,,,,,,,,18047.0387491,,16326.3690118,,,,,9490.0,,,,,,,
2000-03-16,2465.0,,,,,,,,,,,,,,,,,,,,18193.6831593,,16326.3690118,,,,,9545.0,,,,,,,
2000-03-17,2465.0,,,,,,,,,,,,,,,,,,,,18252.3409234,,16326.3690118,,,,,9535.0,,,,,,,
2000-03-20,2438.0,,,,,,,,,,,,,,,,,,,,18252.3409234,,16316.7084384,,,,,9520.0,,,,,,,
2000-03-21,2434.0,,,,,,,,,,,,,,,,,,,,18144.8016892,,16220.1027046,,,,,9530.0,,,,,,,
2000-03-22,2443.0,,,,,,,,,,,,,,,,,,,,18281.6698054,,16229.763278,,,,,9350.0,,,,,,,
2000-03-23,2435.0,,,,,,,,,,,,,,,,,,,,18135.0253952,,16075.1941039,,,,,9215.0,,,,,,,
2000-03-24,2424.0,,,,,,,,,,,,,,,,,,,,18164.3542772,,16094.5152507,,,,,9180.0,,,,,,,
2000-03-27,2441.0,,,,,,,,,,,,,,,,,,,,18105.6965132,,16084.8546773,,,,,9180.0,,,,,,,
2000-03-28,2429.0,,,,,,,,,,,,,,,,,,,,18037.2624551,,16055.8729571,,,,,9090.0,,,,,,,
2000-03-29,2425.0,,,,,,,,,,,,,,,,,,,,18095.9202191,,16104.175824,,,,,9030.0,,,,,,,
2000-03-30,2411.0,,,,,,,,,,,,,,,,,,,,18056.8150431,,16046.2123838,,,,,9025.0,,,,,,,
2000-03-31,2425.0,,,,,,,,,,,,,,,,,,,,18076.3676311,,15949.60665,,,,,8970.0,,,,,,,
2000-04-03,2470.0,,,,,,,,,,,,,,,,,,,,18066.5913371,,15814.3586226,,,,,8910.0,,,,,,,
2000-04-04,2447.0,,,,,,,,,,,,,,,,,,,,17988.380985,,15553.5231414,,,,,9000.0,,,,,,,
2000-04-05,2446.0,,,,,,,,,,,,,,,,,,,,17685.3158706,,15427.9356875,,,,,8940.0,,,,,,,
2000-04-06,2438.0,,,,,,,,,,,,,,,,,,,,17577.7766364,,15476.2385544,,,,,9000.0,,,,,,,
2000-04-07,2407.0,,,,,,,,,,,,,,,,,,,,17277.8806124,,15321.6693803,,,,,9000.0,,,,,,,
2000-04-10,2402.0,,,,,,,,,,,,,,,,,,,,17364.9472,,15543.862568,,,,,8970.0,,,,,,,
2000-04-11,2391.0,,,,,,,,,,,,,,,,,,,,17393.9693959,,15534.2019946,,,,,8960.0,,,,,,,
2000-04-12,2392.0,,,,,,,,,,,,,,,,,,,,17306.9028082,,15514.8808479,,,,,8980.0,,,,,,,
2000-04-13,2401.0,,,,,,,,,,,,,,,,,,,,17287.5546776,,15514.8808479,,,,,8950.0,,,,,,,
2000-04-14,2410.0,,,,,,,,,,,,,,,,,,,,17181.1399594,,15427.9356875,,,,,8900.0,,,,,,,
2000-04-17,2396.0,,,,,,,,,,,,,,,,,,,,16958.6364577,,15283.0270868,,,,,8810.0,,,,,,,
2000-04-18,2403.0,,,,,,,,,,,,,,,,,,,,17132.769633,,15408.6145407,,,,,8770.40449438,,,,,,,
2000-04-19,2391.0,,,,,,,,,,,,,,,,,,,,17297.2287429,,15456.9174076,,,,,8750.60674157,,,,,,,
2000-04-20,2391.0,,,,,,,,,,,,,,,,,,,,17171.4658941,,15437.5962608,,,,,8765.45505618,,,,,,,
2000-04-21,2399.0,,,,,,,,,,,,,,,,,,,,17210.1621553,,15456.9174076,,,,,8780.30337079,,,,,,,
2000-04-24,2399.0,,,,,,,,,,,,,,,,,,,,17239.1843512,,15524.5414213,,,,,8775.35393258,,,,,,,
2000-04-25,2408.0,,,,,,,,,,,,,,,,,,,,17200.48809,,15485.8991277,,,,,8899.08988764,,,,,,,
2000-04-26,2415.0,,,,,,,,,,,,,,,,,,,,17548.7544405,,15621.1471551,,,,,8998.07865169,,,,,,,
2000-04-27,2410.0,,,,,,,,,,,,,,,,,,,,17481.0359835,,15572.8442882,,,,,8968.38202247,,,,,,,
2000-04-28,2409.0,,,,,,,,,,,,,,,,,,,,17539.0803753,,15572.8442882,,,,,8963.43531424,,,,,,,
2000-05-08,2430.0,,,,,,,,,,,,,,,,,,,,17906.6948564,,15553.5231414,,,,,9017.84910478,,,,,,,
2000-05-09,2433.0,,,,,,,,,,,,,,,,,,,,17819.6282687,,15437.5962608,,,,,8913.96823193,,,,,,,
2000-05-10,2436.0,,,,,,,,,,,,,,,,,,,,17886.7997269,,15495.5597011,,,,,8849.66102493,,,,,,,
2000-05-11,2431.0,,,,,,,,,,,,,,,,,,,,17627.7098167,,15427.9356875,,,,,8824.92748378,,,,,,,
2000-05-12,2435.0,,,,,,,,,,,,,,,,,,,,17771.6486557,,15505.2202745,,,,,8834.82090024,,,,,,,
2000-05-15,2425.0,,,,,,,,,,,,,,,,,,,,17896.3956495,,15553.5231414,,,,,8671.57952862,,,,,,,
2000-05-16,2419.0,,,,,,,,,,,,,,,,,,,,17886.7997269,,15708.0923155,,,,,8706.20648624,,,,,,,
2000-05-17,2423.0,,,,,,,,,,,,,,,,,,,,17848.4160365,,15795.0374759,,,,,8701.25977801,,,,,,,
2000-05-18,2429.0,,,,,,,,,,,,,,,,,,,,17790.8405009,,15804.6980493,,,,,8676.52623685,,,,,,,
2000-05-19,2423.0,,,,,,,,,,,,,,,,,,,,17819.6282687,,15910.9643564,,,,,8671.57952862,,,,,,,
2000-05-22,2426.0,,,,,,,,,,,,,,,,,,,,17781.2445783,,15968.9277967,,,,,8651.7926957,,,,,,,
2000-05-23,2427.0,,,,,,,,,,,,,,,,,,,,17694.8812749,,15881.9826363,,,,,8646.84598747,,,,,,,
2000-05-24,2433.0,,,,,,,,,,,,,,,,,,,,17858.0119591,,15939.9460766,,,,,8716.0999027,,,,,,,
