,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
FG,long_1,null,null,-8.4%,-0.084273648648648586,-0.03072072072072074,h>h60,h5>h60|today,75%,long_1
I,long_1,null,null,-0.7%,-0.083908045977011472,-0.06685305995650824,h>h60,h5>h60,75%,long_1
CU,long_1,null,null,0.6%,-0.01273100616016427,-0.026582042187791675,h>h60,h5>h60,73%,null
RU,long_1,null,null,16.9%,-0.022097958247304469,-0.023239275063087823,h>h60,h5>h60,71%,long_1
NI,long_1,null,null,0.1%,-0.026002132196162046,-0.045437100213219617,h>h60,h5>h60,69%,null
ZN,long_1,null,null,-0.9%,-0.043937320823560118,-0.012216575449569977,h>h60,h5>h60,62%,long_2
MA,long_1,null,null,-15.1%,-0.03987083616587362,-0.020360299116247482,h>h60,h5>h60,33%,long_1
JM,long_1,null,null,-6.9%,-0.10240034555103054,-0.054066395162285563,h>h60,h5>h60|today,25%,null
CS,long_1,null,null,-4.9%,-0.027120223671947725,-0.022460391425908582,h>h60,h5>h60,0%,long_2
ZC,long_1,null,null,-0.7%,-0.11044722461892462,-0.075352315214264817,h>h60,h5>h60,0%,long_1
HC,long_2,null,null,-7.9%,-0.01244185063012771,-0.0052270997208830015,h>h60,h5>h60,67%,long_2
RM,long_2,null,top deviate,0.6%,-0.035029940119760516,0.00032078699743370403,h<h60,h5<h60,50%,null
J,long_2,null,null,-9.8%,-0.058418131359851966,-0.029047178538390464,h>h60,h5>h60|today,33%,null
PP,long_2,2_long,null,0.2%,-0.025994819223985971,-0.0022486772486772087,h>h60,null,33%,null
RB,null,null,gold cross,-19.5%,-0.0095471763085399532,0.0013688016528926089,h>h60,null,88%,short_1
M,null,null,top deviate,-6.9%,0.00028429282160631907,0.0092395167022032692,h<h60,h5<h60,71%,null
BU,null,null,gold cross,6.7%,0.0075528700906344415,0.0026435045317220545,h>h60,h5>h60|today,50%,short_1
V,null,null,top deviate,2.4%,-0.013187702265372213,-0.039531989046552196,h>h60,h5>h60,50%,null
AG,null,null,null,null,0.040200210748155926,-0.00679662802950479,h>h60,h5>h60,47%,null
IH,null,null,top deviate,null,-0.038472235674644924,0.011763887023223412,h<h60,h5<h60,0%,null
SF,null,null,top deviate,null,-0.038472235674644924,0.011763887023223412,h<h60,h5<h60,0%,long_1
L,short_1,null,gold cross,-1.3%,0.015705467372133974,0.014497354497354497,h<h60,h5<h60,90%,short_1
P,short_1,null,null,2.1%,0.043775972799395539,0.049892960584309261,h<h60,h5<h60,70%,short_1
AL,short_1,null,null,3.1%,0.081755747126436823,0.086879310344827584,h>h60,h5>h60,62%,short_1
TA,short_1,null,null,-5.5%,0.014078519629907466,0.017104276069017221,h<h60,h5<h60,60%,short_1
IC,short_1,null,death cross,-0.1%,0.02641116577887578,0.010790927266771291,h<h60,h5<h60|today,57%,short_1
T,short_1,null,bottom deviate,null,0.014982221743346194,0.0067279028840279394,h>h60,h5>h60,50%,short_1
TF,short_1,null,bottom deviate,null,0.0076334854929636948,0.0025884427845213383,h>h60,h5>h60,50%,short_1
AU,short_1,null,null,null,0.016946064139941191,0.0091927842565596909,h>h60,h5>h60,47%,short_1
IF,short_1,null,top deviate,-0.0%,0.02025216762038588,0.016362922899306149,h<h60,h5<h60,47%,short_1
JD,short_1,3_short,null,null,0.0020897832817337227,0.010074819401444836,h>h60,h5>h60|today,0%,short_1
