,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
CU,long_1,2_long,top deviate,0,-0.026241391808626315,-0.0029902138455962304,h<h60,h5<h60,80,null,3.1
L,long_1,null,null,-2,-0.033875542208875481,-0.039939939939939939,h>h60,h5>h60,80,long_1,0.0
NI,long_1,null,null,-1,-0.055147207098205281,-0.024440411373260737,h>h60,h5>h60,77,long_1,0.0
FG,long_1,2_long,top deviate,7,-0.063953093133922528,-0.00074779061862672268,h<h60,h5<h60,75,null,4.0
I,long_1,null,null,-2,-0.081761729530818769,-0.042134314627414862,h>h60,h5>h60,75,long_1,0.0
TA,long_1,null,null,1,-0.034765116554253954,-0.036616968406105815,h>h60,h5>h60,70,long_1,0.0
ZN,long_1,null,null,0,-0.046073903002309471,-0.02422055427251732,h>h60,h5>h60,69,long_1,0.0
IC,long_1,null,null,0,-0.026162731617826392,-0.026424052674389638,h>h60,h5>h60,67,long_1,0.0
MA,long_1,null,null,10,-0.011592226389362428,-0.013808387316740538,h>h60,h5>h60,67,null,4.3
PP,long_1,null,null,-2,-0.058538079238415204,-0.034455060898781989,h>h60,h5>h60,67,long_1,0.0
IF,long_1,null,null,0,-0.021513511156968017,-0.022062825608348047,h>h60,h5>h60,60,long_1,0.0
CS,long_1,null,bottom deviate,4,-0.014066138798323156,-0.0070796460176990299,h>h60,h5>h60,50,long_1,0.0
ZC,long_1,null,null,16,-0.068141025641025241,-0.04054487179487154,h>h60,h5>h60|today,50,long_1,0.0
IH,long_1,null,null,0,-0.024985062408373594,-0.011770349514297838,h>h60,h5>h60,46,long_1,0.0
V,long_1,null,null,-3,-0.022942612942612899,-0.038168498168498169,h>h60,h5>h60,38,long_1,0.0
BU,long_1,null,null,-12,-0.011498516320474777,-0.024777448071216686,h>h60,h5>h60,25,null,0.5
JM,long_1,null,null,2,-0.091922701780053628,-0.028590587661545909,h>h60,h5>h60,25,long_1,0.0
RM,null,null,null,-1,-0.0092714264856182723,0.017696014016644807,h<h60,h5<h60,75,null,0.0
AU,null,null,null,0,-0.0033183990442061449,-0.012428315412186485,h>h60,h5>h60,71,null,0.0
RU,null,null,bottom deviate,-14,0.0021017829731963204,0.0091510213720627752,h<h60,h5<h60|today,71,long_2,0.0
J,null,null,null,16,-0.0050398724082934467,-0.018050239234449716,h>h60,h5>h60,67,short_1,0.0
TF,short_1,null,null,0,0.0075138528138538347,0.0017272727272726327,h<h60,h5<h60,75,short_1,0.0
HC,short_1,2_short,null,9,0.0066546298684550375,0.0010575187000257697,h>h60,null,67,short_1,0.0
M,short_1,null,null,6,0.018700361010830391,0.015361010830324975,h<h60,h5<h60,65,short_1,0.0
AL,short_1,null,null,-3,0.045202104097452893,0.022137320044296749,h>h60,h5>h60,62,short_1,0.0
P,short_1,null,null,-2,0.030433159073935772,0.025124470998257396,h>h60,h5>h60,50,short_1,0.0
T,short_1,null,null,0,0.016221903783413143,0.0057481209106143016,h<h60,h5<h60,50,short_1,0.0
JD,short_1,null,death cross,0,0.019664647528750728,0.0062549381090334479,h<h60,h5<h60|today,0,short_1,0.0
SF,short_1,null,gold cross,0,0.054384877595289746,0.056925937403160771,h<h60,h5<h60,0,short_1,0.0
AG,short_2,null,null,0,0.0088030888030887558,-0.0065637065637065639,h<h60,h5<h60|today,71,null,1.6
RB,short_2,2_short,null,11,0.012001396526141263,0.0015710919088766694,h>h60,h5>h60|today,63,short_1,0.0
