,Level,KDJ,Contango,hm_up,Seasonal,LastLevel
FG801,long_1,death cross,-7.3%,h5>h60|today,75%,long_1
JD1801,long_1,null,null,h5>h60,67%,long_1
P1801,long_1,null,-2.3%,h5>h60|today,56%,null
L1801,long_1,null,0.9%,h5>h60,50%,short_1
M1801,long_1,null,-3.8%,h5<h60|today,47%,long_1
CU1712,long_1,null,-0.3%,h5<h60|today,43%,long_1
NI1801,long_1,death cross,0.6%,h5>h60,42%,long_1
PP1801,long_1,null,1.7%,h5>h60|today,33%,null
Y1801,short_1,null,0.4%,h5<h60,64%,short_1
OI801,short_1,null,-2.8%,h5<h60,60%,short_1
AL1712,short_1,gold cross,1.3%,h5<h60,57%,short_1
TA801,short_1,null,0.5%,null,56%,short_1
C1801,short_1,null,-2.4%,h5<h60,50%,short_1
CS1801,short_1,null,-14.4%,null,50%,null
ZN1712,short_1,null,-2.5%,h5<h60,50%,null
AG1712,short_1,null,null,h5<h60|today,47%,short_1
RU1801,short_1,null,19.0%,null,47%,short_1
A1801,short_1,null,-0.7%,h5<h60,41%,short_1
AU1712,short_1,null,null,h5<h60,41%,short_1
CF801,short_1,null,-6.4%,h5<h60,38%,short_1
RB1801,short_1,null,-10.4%,null,38%,short_1
BU1712,short_1,null,1.4%,h5<h60,33%,short_1
HC1801,short_1,null,-3.7%,null,33%,short_1
J1801,short_1,null,-18.7%,h5<h60,33%,short_1
JM1801,short_1,null,-16.7%,h5<h60,25%,short_1
