,Level,FC,KDJ,Contango,hm_up,Seasonal,LastLevel
RM801,long_1,null,null,-0.2%,h5>h60,75%,long_1
HC1801,long_1,null,null,-1.6%,h5<h60|today,67%,long_1
00001,long_1,null,null,0.6%,h5>h60|today,62%,null
C1801,long_1,null,null,3.1%,h5<h60|today,62%,short_2
00030,long_1,null,null,0.6%,h5>h60|today,47%,null
M1801,long_1,null,null,-3.1%,h5>h60,41%,long_1
MA801,long_1,null,gold cross,-3.2%,h5>h60|today,40%,null
J1801,long_1,null,null,3.5%,h5>h60|today,33%,short_2
JD1801,long_1,null,null,null,null,33%,long_1
FG801,long_1,null,null,-2.3%,h5>h60,100%,long_1
ZC801,long_1,null,null,-6.3%,null,0%,long_1
RB1805,long_2,null,null,-13.6%,h5<h60,63%,null
AU1806,long_2,null,null,null,h5>h60|today,59%,null
CU1801,long_2,m30,null,0.2%,h5<h60,50%,short_1
BU1712,long_2,null,gold cross,2.7%,h5<h60,33%,short_1
I1801,long_2,null,null,-5.7%,h5>h60|today,33%,short_2
PP1801,long_2,null,null,1.4%,h5<h60,33%,null
OI801,short_1,null,null,-3.3%,h5<h60,70%,short_1
AG1712,short_1,null,null,null,h5>h60,59%,short_1
00090,short_1,null,null,0.5%,h5<h60|today,57%,null
Y1801,short_1,null,null,0.4%,h5<h60,55%,short_1
CF801,short_1,null,null,-5.8%,h5<h60,54%,short_1
L1801,short_1,null,null,0.3%,h5<h60,50%,short_2
T,short_1,null,death cross,null,h5>h60,50%,null
TF,short_1,null,death cross,null,h5>h60,50%,null
AL1801,short_1,null,null,2.7%,h5<h60|today,46%,null
P1801,short_1,null,null,-1.7%,h5<h60|today,44%,null
NI1805,short_1,null,null,-0.1%,h5<h60,38%,short_1
RU1801,short_1,null,null,17.7%,h5<h60|today,28%,null
V1801,short_1,m5,null,null,h5<h60,25%,short_1
