,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel
FG,long_1,null,top deviate,-6.1%,-0.063036703601108093,-0.01038781163434903,h<h60,h5<h60,75%,long_1
I,long_1,null,top deviate,-0.2%,-0.03439960629921264,-0.017716535433070866,h>h60,null,75%,null
RU,long_1,null,null,14.5%,-0.011093731896651646,-0.013289305990035876,h>h60,h5>h60,59%,long_1
MA,long_1,null,death cross,-12.9%,-0.027927461139896342,-0.0071157167530224207,h>h60,h5>h60,33%,long_1
SF,long_1,null,null,null,-0.078304383788254744,-0.03462779156327548,h<h60,h5<h60,0%,long_1
ZC,long_1,null,null,-1.5%,-0.10607508203049633,-0.070415942868171807,h>h60,h5>h60,0%,long_1
HC,long_2,2_long,gold cross,-8.5%,-0.009356427237221885,-0.0031456953642383873,h>h60,h5>h60|today,67%,short_1
ZN,long_2,2_long,null,-1.8%,-0.034427093628516786,-0.001670290571259142,h>h60,h5>h60,62%,long_2
CS,long_2,null,null,-5.5%,-0.0076428571428572298,-0.0030000000000000868,h>h60,h5>h60,0%,null
M,null,3_long,null,-6.6%,-0.00054489457474531024,0.0093994314143567223,h<h60,h5<h60,71%,null
NI,null,null,null,-0.7%,0.015518008003557137,-0.0064473099155180078,h>h60,h5>h60,69%,short_1
CU,null,null,null,-0.6%,-0.0017843655589123866,-0.015143504531722054,h>h60,h5>h60,67%,null
RM,null,null,null,1.1%,-0.029894578313252974,0.0058304647160069625,h<h60,h5<h60,50%,null
V,null,null,top deviate,2.4%,-0.0045437405731523382,-0.030794369029663194,h>h60,h5>h60,50%,null
AG,null,null,bottom deviate,null,0.045017182130584241,-0.0018503832936822627,h>h60,h5>h60,47%,null
IH,null,null,null,-0.1%,-0.039405579217108064,0.013107109658035309,h<h60,h5<h60,46%,null
PP,null,null,null,0.4%,-0.013260286225402545,0.012896914132379289,h<h60,h5<h60,33%,null
JM,null,null,top deviate,-4.2%,-0.044252305665349205,0.0055072463768116179,h<h60,h5<h60,25%,null
J,null,null,top deviate,-7.1%,-0.0092035542512431436,0.021460014673514306,h<h60,h5<h60,17%,null
RB,short_1,null,top deviate,-19.5%,0.00046997389033947309,0.017310704960835557,h<h60,h5<h60,88%,null
L,short_1,null,null,-1.0%,0.025035574528637559,0.024564212024190613,h<h60,h5<h60,80%,short_1
P,short_1,null,top deviate,2.2%,0.05391707999491286,0.061528678621391407,h<h60,h5<h60,70%,short_1
AL,short_1,null,null,2.1%,0.083802695231513472,0.091563003916148314,h>h60,h5>h60,62%,short_1
TA,short_1,null,top deviate,-4.6%,0.013978494623655994,0.01791072768192048,h<h60,h5<h60,60%,null
IC,short_1,null,bottom deviate,-0.5%,0.020532419917254352,0.0052620470493634523,h>h60,h5>h60,57%,null
AU,short_1,null,bottom deviate,null,0.018225747629467135,0.011241794310722034,h>h60,h5>h60,53%,short_1
BU,short_1,null,top deviate,2.4%,0.017823544368166713,0.017467581998474518,h<h60,h5<h60,50%,short_1
T,short_1,null,null,null,0.014424646964884411,0.0063187454020199657,h>h60,h5>h60|today,50%,short_1
TF,short_1,null,gold cross,null,0.007370631546200393,0.0023626810467005746,h>h60,h5>h60|today,50%,short_1
IF,short_1,null,null,-0.4%,0.019280542967522407,0.017126513905876155,h<h60,h5<h60|today,47%,short_1
JD,short_1,null,null,null,0.0064990061360297134,0.014856105781695666,h<h60,h5<h60,0%,short_1
