,Level,FC,KDJ,Contango,LC,MC,hm_over,hm_up,Seasonal,LastLevel,Pos
L,long_1,null,death cross,-3,-0.033542188805346762,-0.039114452798663261,h>h60,h5>h60,80,long_1,0.0
NI,long_1,null,bottom deviate,-1,-0.05545021293855202,-0.023007503548975867,h>h60,h5>h60,77,long_1,0.0
I,long_1,null,bottom deviate,-2,-0.070250310945273578,-0.03156094527363177,h>h60,h5>h60,75,long_1,0.0
TA,long_1,null,bottom deviate,1,-0.021517771373679079,-0.023595100864553315,h>h60,h5>h60,70,long_1,0.0
ZN,long_1,null,bottom deviate,1,-0.039537665696734517,-0.016598771419333934,h>h60,h5>h60,69,long_1,0.0
IC,long_1,null,null,1,-0.021583441996373506,-0.023875775838453777,h>h60,h5>h60,67,null,3.0
PP,long_1,null,bottom deviate,-3,-0.056369863013698708,-0.033024236037934633,h>h60,h5>h60,67,long_1,0.0
IF,long_1,null,null,1,-0.016566999644078411,-0.01929342266240942,h>h60,h5>h60,60,long_1,0.0
CS,long_1,null,null,5,-0.021752196024040767,-0.014655570966250494,h>h60,h5>h60,50,long_2,0.0
ZC,long_1,null,top deviate,17,-0.053019678190910677,-0.025472928897586251,h<h60,h5<h60,50,long_1,0.0
IH,long_1,null,null,1,-0.024115943994013088,-0.011027824499015838,h>h60,h5>h60,46,long_2,0.0
V,long_1,null,bottom deviate,-4,-0.015835795174790699,-0.032594780896110336,h>h60,h5>h60,38,long_1,0.0
JM,long_1,null,gold cross,4,-0.083715483234714047,-0.019354043392504988,h>h60,h5>h60|today,25,long_1,0.0
RU,long_2,2_long,bottom deviate,-15,-0.011029497493295981,-0.00416229450856943,h>h60,h5>h60,71,long_2,0.0
CU,null,null,null,-1,-0.023783044667274385,0.00027347310847766635,h<h60,h5<h60,80,long_1,0.0
FG,null,null,null,6,-0.054143741403026073,0.010385144429160872,h<h60,h5<h60,75,null,0.0
RM,null,null,top deviate,0,-0.013796861377506579,0.015235396687009512,h<h60,h5<h60,75,null,0.0
AG,null,null,null,0,0.0062099050551705972,-0.011803951757762381,h>h60,h5>h60,71,null,0.0
AU,null,null,null,0,-0.0080762142559900989,-0.017710005350454902,h>h60,h5>h60,71,null,0.0
MA,null,null,bottom deviate,9,-0.0050876589893434796,-0.0045376418013062282,h>h60,h5>h60,67,null,0.0
BU,null,null,bottom deviate,-12,0.00027548209366383213,-0.014350112697220066,h>h60,h5>h60,25,null,0.0
TF,short_1,null,top deviate,0,0.0072372520510965927,0.0015119257797623874,h<h60,h5<h60|today,75,null,2.0
HC,short_1,null,death cross,8,0.010231193926846092,0.0051371635610765812,h<h60,null,67,null,1.0
J,short_1,null,null,17,0.031736972704714553,0.02088089330024805,h>h60,h5>h60|today,67,short_1,0.0
M,short_1,null,top deviate,6,0.01827142685418915,0.016822935448972266,h<h60,h5<h60,65,short_1,0.0
RB,short_1,2_short,bottom deviate,10,0.014640763104926983,0.0038067734313468101,h<h60,null,63,null,0.7
AL,short_1,null,null,-3,0.043884832392963827,0.022701626286093596,h>h60,h5>h60,62,short_1,0.0
P,short_1,null,bottom deviate,-2,0.037518796992481271,0.032481203007518833,h>h60,h5>h60,50,short_1,0.0
T,short_1,null,null,0,0.014609308936506677,0.004337813281516556,h<h60,h5<h60|today,50,short_1,0.0
JD,short_1,null,bottom deviate,0,0.018725902558710074,0.0056256572029442934,h>h60,h5>h60,0,null,3.5
SF,short_1,null,top deviate,0,0.051587301587301633,0.060606060606060608,h<h60,h5<h60,0,short_1,0.0
